Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.189-192.168.137.5-80-64172-6,192.168.137.5,64172,192.168.137.189,80,6,03/12/2021 04:16:41 AM,67542970,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16285928794662125,6754297.0,1.0185009927567517E7,3.2218976E7,1006134.0,6.6536836E7,7392981.777777778,1.0588302525304668E7,3.2218976E7,1007086.0,0,0,0,0,0,0,0,0,0,424,44,0.14805389813329203,0.014805389813329205,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.10874E7,0.0,1.10874E7,1.10874E7,1.8818523333333332E7,1.2288837574030561E7,3.2218976E7,8076462.0,No Label
192.168.137.189-192.168.137.5-80-64195-6,192.168.137.5,64195,192.168.137.189,80,6,03/12/2021 04:16:53 AM,67495348,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16297419490303242,6749534.8,1.0167474227489252E7,3.2162212E7,1007763.0,6.6487585E7,7387509.444444444,1.056980807107006E7,3.2162212E7,1008509.0,0,0,0,0,0,0,0,0,0,424,44,0.14815835900275673,0.014815835900275675,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.110253E7,0.0,1.110253E7,1.110253E7,1.8797606E7,1.2256635644147867E7,3.2162212E7,8082240.0,No Label
192.168.137.189-192.168.137.5-80-64232-6,192.168.137.5,64232,192.168.137.189,80,6,03/12/2021 04:17:10 AM,67419243,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163158165392038,6741924.300000001,1.0159481322557488E7,3.2156254E7,1008508.0,6.6409362E7,7378818.0,1.0561892136541978E7,3.2156254E7,1008508.0,0,0,0,0,0,0,0,0,0,424,44,0.14832560490185273,0.014832560490185274,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.1110257E7,0.0,1.1110257E7,1.1110257E7,1.8769662E7,1.2269071641744414E7,3.2156254E7,8060213.0,No Label
192.168.137.189-192.168.137.5-80-64255-6,192.168.137.5,64255,192.168.137.189,80,6,03/12/2021 04:17:22 AM,67364379,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16329104733526897,6736437.9,1.016204777986802E7,3.2169055E7,1006335.0,6.6358044E7,7373116.0,1.0564815577254059E7,3.2169055E7,1006982.0,0,0,0,0,0,0,0,0,0,424,44,0.14844640666842635,0.014844640666842636,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.1081647E7,0.0,1.1081647E7,1.1081647E7,1.8760910666666668E7,1.22866490878791E7,3.2169055E7,8040871.0,No Label
192.168.137.189-224.0.0.251-5353-5353-17,192.168.137.189,5353,224.0.0.251,5353,17,03/12/2021 04:15:56 AM,102101975,1,1,157.0,258.0,157.0,157.0,157.0,0.0,258.0,258.0,258.0,0.0,4.064563883313717,0.01958825967862032,1.02101975E8,0.0,1.02101975E8,1.02101975E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.00979412983931016,0.00979412983931016,157.0,258.0,224.33333333333334,58.3123771881522,3400.333333333333,0,0,0,0,0,0,0,0,1.0,336.5,157.0,258.0,0,0,0,0,0,0,1,157,1,258,-1,-1,1,0,0,0,0,0,1.02101975E8,0.0,1.02101975E8,1.02101975E8,No Label
192.168.137.189-192.168.137.5-80-64134-6,192.168.137.5,64134,192.168.137.189,80,6,03/12/2021 04:16:23 AM,67603531,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1627133943639719,6760353.1,1.0203740097278006E7,3.2297339E7,1006272.0,6.6595441E7,7399493.444444444,1.0608261954512743E7,3.2297339E7,1006272.0,0,0,0,0,0,0,0,0,0,424,44,0.14792126760361082,0.014792126760361082,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.1104875E7,0.0,1.1104875E7,1.1104875E7,1.8832885333333332E7,1.2338998676862573E7,3.2297339E7,8065531.0,No Label
192.168.137.189-192.168.137.5-80-64270-6,192.168.137.5,64270,192.168.137.189,80,6,03/12/2021 04:17:56 AM,35187037,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28419556895341885,3909670.777777778,5139995.877715219,1.6091169E7,1002627.0,3.418384E7,4272980.0,5369928.470325839,1.6091169E7,1002627.0,0,0,0,0,0,0,0,0,0,396,44,0.255776012058077,0.028419556895341886,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,65535,0,0,1.1048465E7,0.0,1.1048465E7,1.1048465E7,1.2069286E7,5687801.48487779,1.6091169E7,8047403.0,No Label
192.168.137.189-192.168.137.5-80-64315-6,192.168.137.5,64315,192.168.137.189,80,6,03/12/2021 04:18:19 AM,19104812,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47108550453152853,2388101.5,2518463.3126357035,8046806.0,1002318.0,1.8098903E7,2585557.5714285714,2652521.5610678745,8046806.0,1002318.0,0,0,0,0,0,0,0,0,0,352,44,0.418742670694692,0.0523428338368365,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,1,0,-1,65535,0,0,1.1058006E7,0.0,1.1058006E7,1.1058006E7,8046806.0,0.0,8046806.0,8046806.0,No Label
192.168.137.189-192.168.137.5-80-64108-6,192.168.137.5,64108,192.168.137.189,80,6,03/12/2021 04:16:10 AM,67592682,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16273951076538137,6759268.2,1.0205520179374676E7,3.2295944E7,1004040.0,6.6586085E7,7398453.888888889,1.0610157445494039E7,3.2295944E7,1004040.0,0,0,0,0,0,0,0,0,0,424,44,0.14794500978671035,0.014794500978671035,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.1085373E7,0.0,1.1085373E7,1.1085373E7,1.8835769666666668E7,1.2338792901464727E7,3.2295944E7,8060489.0,No Label
192.168.137.189-192.168.137.5-80-64157-6,192.168.137.5,64157,192.168.137.189,80,6,03/12/2021 04:16:34 AM,67562784,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16281152653508182,6756278.4,1.0194109934022361E7,3.2252795E7,1006414.0,6.6554912E7,7394990.222222222,1.0598131585662998E7,3.2252795E7,1006414.0,0,0,0,0,0,0,0,0,0,424,44,0.1480104786682562,0.01480104786682562,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,1.1090299E7,0.0,1.1090299E7,1.1090299E7,1.8824161666666668E7,1.2314499723783275E7,3.2252795E7,8060060.0,No Label
