Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/12/2021 09:48:57 PM,90009537,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08887947062765138,1.2858505285714285E7,4856939.952246569,1.9968303E7,9930777.0,7.9975135E7,1.3329189166666668E7,5142652.524432519,1.9968303E7,9930777.0,0,0,0,0,0,0,0,0,0,0,0,0.07776953679919496,0.011109933828456422,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,1.2858505285714285E7,4856939.952246569,1.9968303E7,9930777.0,No Label
192.168.137.5-192.168.137.64-57980-80-6,192.168.137.5,57980,192.168.137.64,80,6,02/12/2021 09:50:44 PM,1050074,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8092553477183513,350024.6666666666,599263.197233347,1041993.0,2923.0,0,0,0,0,0,1050074.0,525037.0,738380.6999048662,1047151.0,2923.0,0,0,0,0,44,84,0.9523138369295878,2.8569415107887637,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-57050-80-6,192.168.137.5,57050,192.168.137.64,80,6,02/12/2021 09:50:22 PM,1047712,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.817843071378394,349237.3333333334,572156.2978997376,1009797.0,8540.0,0,0,0,0,0,1047712.0,523856.0,728766.8761078538,1039172.0,8540.0,0,0,0,0,44,84,0.9544607678445985,2.8633823035337955,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56636-80-6,192.168.137.5,56636,192.168.137.64,80,6,02/12/2021 09:49:02 PM,1007732,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9693093004886215,335910.6666666666,576244.1185828566,1001300.0,2970.0,0,0,0,0,0,1007732.0,503866.0,707678.1234657463,1004270.0,3462.0,0,0,0,0,44,84,0.9923273251221554,2.976981975366466,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-58100-80-6,192.168.137.5,58100,192.168.137.64,80,6,02/12/2021 09:50:46 PM,1059756,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774453742182163,353252.0,600498.437892223,1046643.0,4306.0,0,0,0,0,0,1059756.0,529878.0,743271.0504035524,1055450.0,4306.0,0,0,0,0,44,84,0.9436134355455408,2.830840306636622,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-57495-80-6,192.168.137.5,57495,192.168.137.64,80,6,02/12/2021 09:50:33 PM,1055796,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.788610678578059,351932.0,594194.3732592897,1038048.0,8113.0,0,0,0,0,0,1055796.0,527898.0,735086.9965180992,1047683.0,8113.0,0,0,0,0,44,84,0.9471526696445147,2.841458008933544,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-57664-80-6,192.168.137.5,57664,192.168.137.64,80,6,02/12/2021 09:50:37 PM,1058963,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7772802260324485,352987.6666666666,597625.5413470323,1043048.0,3617.0,0,0,0,0,0,1058963.0,529481.5,743684.7078705465,1055346.0,3617.0,0,0,0,0,44,84,0.9443200565081121,2.8329601695243363,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-60488-80-6,192.168.137.5,60488,192.168.137.64,80,6,02/12/2021 09:51:41 PM,1140762,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5064281594232627,380254.0,552482.3187424191,1014840.0,6285.0,0,0,0,0,0,1140762.0,570381.0,797752.2136804134,1134477.0,6285.0,0,0,0,0,44,84,0.8766070398558157,2.629821119567447,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-57348-80-6,192.168.137.5,57348,192.168.137.64,80,6,02/12/2021 09:50:29 PM,1049221,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8123522117837902,349740.3333333334,588738.2075798489,1029556.0,9013.0,0,0,0,0,0,1049221.0,524610.5,726847.0811969324,1038569.0,10652.0,0,0,0,0,44,84,0.9530880529459476,2.8592641588378425,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56805-80-6,192.168.137.5,56805,192.168.137.64,80,6,02/12/2021 09:49:41 PM,1011345,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9551290608051657,337115.0,578281.9661367628,1004857.0,2538.0,0,0,0,0,0,1011345.0,505672.5,711539.633597806,1008807.0,2538.0,0,0,0,0,44,84,0.9887822652012914,2.966346795603874,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
