Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/12/2021 09:12:27 PM,110076329,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09084605283303007,1.223070322222222E7,4410774.553858307,2.0066225E7,9930778.0,1.00039887E8,1.2504985875E7,4632537.5215417445,2.0066225E7,9930778.0,0,0,0,0,0,0,0,0,0,0,0,0.08176144754972706,0.009084605283303007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,0,0,0,0,1.223070322222222E7,4410774.553858307,2.0066225E7,9930778.0,No Label
192.168.137.5-192.168.137.51-62751-80-6,192.168.137.5,62751,192.168.137.51,80,6,02/12/2021 09:13:37 PM,1030637,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8810948956810205,343545.6666666666,576555.9206333184,1009251.0,4057.0,0,0,0,0,0,1030637.0,515318.5,704263.5048193964,1013308.0,17329.0,0,0,0,0,44,84,0.9702737239202551,2.9108211717607655,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-62582-80-6,192.168.137.5,62582,192.168.137.51,80,6,02/12/2021 09:13:24 PM,1045616,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8254961668528407,348538.6666666666,551697.3208130826,985549.0,24262.0,0,0,0,0,0,1045616.0,522808.0,705050.5146668571,1021354.0,24262.0,0,0,0,0,44,84,0.9563740417132102,2.86912212513963,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-62604-80-6,192.168.137.5,62604,192.168.137.51,80,6,02/12/2021 09:13:25 PM,1061822,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.767109741557436,353940.6666666666,559831.5712840188,1000041.0,12803.0,0,0,0,0,0,1061822.0,530911.0,732715.3603739996,1049019.0,12803.0,0,0,0,0,44,84,0.941777435389359,2.825332306168077,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-61999-80-6,192.168.137.5,61999,192.168.137.51,80,6,02/12/2021 09:12:37 PM,1040934,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84270280344383,346978.0,575979.5725292695,1012049.0,10852.0,0,0,0,0,0,1040934.0,520467.0,720704.4445887648,1030082.0,10852.0,0,0,0,0,44,84,0.9606757008609575,2.8820271025828728,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-62920-80-6,192.168.137.5,62920,192.168.137.51,80,6,02/12/2021 09:13:50 PM,1031278,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.878682566679402,343759.3333333334,553838.705603295,983167.0,13775.0,0,0,0,0,0,1031278.0,515639.0,680665.2302108578,996942.0,34336.0,0,0,0,0,44,84,0.9696706416698505,2.9090119250095516,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-62266-80-6,192.168.137.5,62266,192.168.137.51,80,6,02/12/2021 09:12:59 PM,1043365,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.833749454888749,347788.3333333334,568947.04770948,1004663.0,9997.0,0,0,0,0,0,1043365.0,521682.5,723632.5737696583,1033368.0,9997.0,0,0,0,0,44,84,0.9584373637221872,2.875312091166562,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-62097-80-6,192.168.137.5,62097,192.168.137.51,80,6,02/12/2021 09:12:45 PM,1042310,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8376298797862436,347436.6666666666,550845.7588947503,983472.0,24385.0,0,0,0,0,0,1042310.0,521155.0,688300.5692341101,1007857.0,34453.0,0,0,0,0,44,84,0.9594074699465609,2.8782224098396827,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-63429-80-6,192.168.137.5,63429,192.168.137.51,80,6,02/12/2021 09:14:31 PM,1032392,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.874497283977404,344130.6666666666,572470.1761876625,1005134.0,8333.0,0,0,0,0,0,1032392.0,516196.0,718226.7424274872,1024059.0,8333.0,0,0,0,0,44,84,0.968624320994351,2.905872962983053,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-63745-80-6,192.168.137.5,63745,192.168.137.51,80,6,02/12/2021 09:14:56 PM,1043952,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8315937897527856,347984.0,577591.4038028959,1014845.0,5381.0,0,0,0,0,0,1043952.0,521976.0,730575.6552541291,1038571.0,5381.0,0,0,0,0,44,84,0.9578984474381964,2.8736953423145892,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
