Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.138-192.168.137.5-80-63660-6,192.168.137.5,63660,192.168.137.138,80,6,02/12/2021 11:24:02 PM,1026325,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8974009207609677,342108.3333333334,580966.8083861016,1012951.0,6546.0,0,0,0,0,0,1026325.0,513162.5,716463.9252219892,1019779.0,6546.0,0,0,0,0,44,84,0.9743502301902419,2.923050690570726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-60702-6,192.168.137.5,60702,192.168.137.138,80,6,02/12/2021 11:22:02 PM,1013253,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.947681378688245,337751.0,576164.1747913524,1003048.0,4815.0,0,0,0,0,0,1013253.0,506626.5,708855.4562564219,1007863.0,5390.0,0,0,0,0,44,84,0.9869203446720612,2.960761034016184,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-61250-6,192.168.137.5,61250,192.168.137.138,80,6,02/12/2021 11:22:29 PM,1014246,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9438163916840687,338082.0,569119.6641682661,995239.0,7116.0,0,0,0,0,0,1014246.0,507123.0,700363.8109211526,1002355.0,11891.0,0,0,0,0,44,84,0.9859540979210172,2.9578622937630517,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-62653-6,192.168.137.5,62653,192.168.137.138,80,6,02/12/2021 11:23:39 PM,1027758,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8919667859554488,342586.0,506264.41417208064,925529.0,13210.0,0,0,0,0,0,1027758.0,513879.0,600842.7741098332,938739.0,89019.0,0,0,0,0,44,84,0.9729916964888622,2.9189750894665867,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-61899-6,192.168.137.5,61899,192.168.137.138,80,6,02/12/2021 11:23:03 PM,1021163,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9171023626982175,340387.6666666666,572837.04847132,1001825.0,5453.0,0,0,0,0,0,1021163.0,510581.5,714359.5754411779,1015710.0,5453.0,0,0,0,0,44,84,0.9792755906745544,2.937826772023663,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-61646-6,192.168.137.5,61646,192.168.137.138,80,6,02/12/2021 11:22:49 PM,1022676,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.911307197978637,340892.0,561830.6698561409,989633.0,14277.0,0,0,0,0,0,1022676.0,511338.0,702950.407526733,1008399.0,14277.0,0,0,0,0,44,84,0.9778267994946592,2.9334803984839777,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-61962-6,192.168.137.5,61962,192.168.137.138,80,6,02/12/2021 11:23:06 PM,1018344,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9279457629249057,339448.0,568139.0151881843,995478.0,10785.0,0,0,0,0,0,1018344.0,509172.0,704825.6547104397,1007559.0,10785.0,0,0,0,0,44,84,0.9819864407312264,2.9459593221936795,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-62194-6,192.168.137.5,62194,192.168.137.138,80,6,02/12/2021 11:23:17 PM,1039190,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8491517431845956,346396.6666666666,566657.181521891,1000534.0,5963.0,0,0,0,0,0,1039190.0,519595.0,726385.3404688175,1033227.0,5963.0,0,0,0,0,44,84,0.9622879357961489,2.8868638073884467,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-64351-6,192.168.137.5,64351,192.168.137.138,80,6,02/12/2021 11:24:20 PM,1027759,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891962999107767,342586.3333333334,589439.1454377061,1023212.0,2093.0,0,0,0,0,0,1027759.0,513879.5,723775.409339458,1025666.0,2093.0,0,0,0,0,44,84,0.9729907497769418,2.9189722493308254,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-63803-6,192.168.137.5,63803,192.168.137.138,80,6,02/12/2021 11:24:06 PM,1023255,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9090940185975147,341085.0,579670.25325352,1010422.0,3486.0,0,0,0,0,0,1023255.0,511627.5,710331.8952155394,1013908.0,9347.0,0,0,0,0,44,84,0.9772735046493787,2.931820513948136,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
