Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.249-192.168.137.5-80-62718-6,192.168.137.5,62718,192.168.137.249,80,6,30/11/2021 02:41:18 AM,12168,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,164.3655489809336,12168.0,0.0,12168.0,12168.0,0,0,0,0,0,12168.0,12168.0,0.0,12168.0,12168.0,0,0,0,0,0,64,0.0,164.3655489809336,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62673-6,192.168.137.5,62673,192.168.137.249,80,6,30/11/2021 02:41:18 AM,2475,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,808.080808080808,2475.0,0.0,2475.0,2475.0,0,0,0,0,0,2475.0,2475.0,0.0,2475.0,2475.0,0,0,0,0,0,64,0.0,808.080808080808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62420-6,192.168.137.5,62420,192.168.137.249,80,6,30/11/2021 02:41:16 AM,18738,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,106.73497705197993,18738.0,0.0,18738.0,18738.0,0,0,0,0,0,18738.0,18738.0,0.0,18738.0,18738.0,0,0,0,0,0,64,0.0,106.73497705197993,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62466-6,192.168.137.5,62466,192.168.137.249,80,6,30/11/2021 02:41:16 AM,4905,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,407.74719673802247,4905.0,0.0,4905.0,4905.0,0,0,0,0,0,4905.0,4905.0,0.0,4905.0,4905.0,0,0,0,0,0,64,0.0,407.74719673802247,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-61918-6,192.168.137.5,61918,192.168.137.249,80,6,30/11/2021 02:41:14 AM,6054,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,330.3600925008259,6054.0,0.0,6054.0,6054.0,0,0,0,0,0,6054.0,6054.0,0.0,6054.0,6054.0,0,0,0,0,0,64,0.0,330.3600925008259,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62070-6,192.168.137.5,62070,192.168.137.249,80,6,30/11/2021 02:41:15 AM,10590,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,188.85741265344663,10590.0,0.0,10590.0,10590.0,0,0,0,0,0,10590.0,10590.0,0.0,10590.0,10590.0,0,0,0,0,0,64,0.0,188.85741265344663,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62115-6,192.168.137.5,62115,192.168.137.249,80,6,30/11/2021 02:41:15 AM,3971,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,503.6514731805591,3971.0,0.0,3971.0,3971.0,0,0,0,0,0,3971.0,3971.0,0.0,3971.0,3971.0,0,0,0,0,0,64,0.0,503.6514731805591,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-61982-6,192.168.137.5,61982,192.168.137.249,80,6,30/11/2021 02:41:15 AM,17009,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,117.58480804280087,17009.0,0.0,17009.0,17009.0,0,0,0,0,0,17009.0,17009.0,0.0,17009.0,17009.0,0,0,0,0,0,64,0.0,117.58480804280087,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62368-6,192.168.137.5,62368,192.168.137.249,80,6,30/11/2021 02:41:16 AM,2902,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,689.1798759476223,2902.0,0.0,2902.0,2902.0,0,0,0,0,0,2902.0,2902.0,0.0,2902.0,2902.0,0,0,0,0,0,64,0.0,689.1798759476223,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-62564-6,192.168.137.5,62564,192.168.137.249,80,6,30/11/2021 02:41:17 AM,3378,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,592.0663114268798,3378.0,0.0,3378.0,3378.0,0,0,0,0,0,3378.0,3378.0,0.0,3378.0,3378.0,0,0,0,0,0,64,0.0,592.0663114268798,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
