Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.179-192.168.137.5-80-50792-6,192.168.137.5,50792,192.168.137.179,80,6,03/12/2021 01:06:22 AM,1044499,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8295871992218276,348166.3333333334,581996.7148372346,1020197.0,11027.0,0,0,0,0,0,1044499.0,522249.5,722977.7928902796,1033472.0,11027.0,0,0,0,0,44,84,0.9573967998054569,2.872190399416371,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50080-6,192.168.137.5,50080,192.168.137.179,80,6,03/12/2021 01:06:05 AM,1024058,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906028760089761,341352.6666666666,580589.9813864629,1011759.0,5037.0,0,0,0,0,0,1024058.0,512029.0,716994.9624146603,1019021.0,5037.0,0,0,0,0,44,84,0.9765071900224402,2.9295215700673207,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50441-6,192.168.137.5,50441,192.168.137.179,80,6,03/12/2021 01:06:16 AM,2075959,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4085254092205095,518989.75,587464.2427537611,1032893.0,6871.0,1036195.0,1036195.0,0.0,1036195.0,1036195.0,2075959.0,1037979.5,12079.505143009792,1046521.0,1029438.0,0,0,0,0,88,84,0.9634101636882038,1.4451152455323057,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50234-6,192.168.137.5,50234,192.168.137.179,80,6,03/12/2021 01:06:11 AM,1036979,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857358731469007,345659.6666666666,577632.157526166,1012648.0,10208.0,0,0,0,0,0,1036979.0,518489.5,713281.9447066496,1022856.0,14123.0,0,0,0,0,44,84,0.9643396828672518,2.8930190486017553,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50487-6,192.168.137.5,50487,192.168.137.179,80,6,03/12/2021 01:06:16 AM,1038870,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.850337385813432,346290.0,589599.155241084,1027086.0,2049.0,0,0,0,0,0,1038870.0,519435.0,720824.6527415665,1029135.0,9735.0,0,0,0,0,44,84,0.962584346453358,2.887753039360074,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50837-6,192.168.137.5,50837,192.168.137.179,80,6,03/12/2021 01:06:22 AM,1041637,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8401093663147527,347212.3333333334,585367.1666606638,1023129.0,6568.0,0,0,0,0,0,1041637.0,520818.5,727260.0315571453,1035069.0,6568.0,0,0,0,0,44,84,0.9600273415786882,2.8800820247360646,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50890-6,192.168.137.5,50890,192.168.137.179,80,6,03/12/2021 01:06:23 AM,1043827,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.832052629410812,347942.3333333334,580641.3551361402,1018409.0,12240.0,0,0,0,0,0,1043827.0,521913.5,719460.6437606578,1030649.0,13178.0,0,0,0,0,44,84,0.958013157352703,2.8740394720581093,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50900-6,192.168.137.5,50900,192.168.137.179,80,6,03/12/2021 01:06:23 AM,1038446,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851909487830855,346148.6666666666,582703.6133690381,1018962.0,3812.0,0,0,0,0,0,1038446.0,519223.0,712128.6535465344,1022774.0,15672.0,0,0,0,0,44,84,0.9629773719577137,2.8889321158731414,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50946-6,192.168.137.5,50946,192.168.137.179,80,6,03/12/2021 01:06:24 AM,1104939,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.620109345402778,368313.0,568525.8136804344,1023437.0,4268.0,0,0,0,0,0,1104939.0,552469.5,775273.9962132743,1100671.0,4268.0,0,0,0,0,44,84,0.9050273363506945,2.7150820090520837,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50683-6,192.168.137.5,50683,192.168.137.179,80,6,03/12/2021 01:06:20 AM,1046539,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8221222524913068,348846.3333333334,585726.8287814152,1025172.0,6994.0,0,0,0,0,0,1046539.0,523269.5,730123.8140209508,1039545.0,6994.0,0,0,0,0,44,84,0.9555305631228267,2.86659168936848,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50739-6,192.168.137.5,50739,192.168.137.179,80,6,03/12/2021 01:06:21 AM,1054040,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7949223938370458,351346.6666666666,569965.9565222588,1009485.0,20996.0,0,0,0,0,0,1054040.0,527020.0,715626.003686283,1033044.0,20996.0,0,0,0,0,44,84,0.9487305984592614,2.846191795377784,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50430-6,192.168.137.5,50430,192.168.137.179,80,6,03/12/2021 01:06:15 AM,1040796,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.843212310577673,346932.0,583866.7933073434,1021113.0,6614.0,0,0,0,0,0,1040796.0,520398.0,717471.5523851799,1027727.0,13069.0,0,0,0,0,44,84,0.9608030776444183,2.882409232933255,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50027-6,192.168.137.5,50027,192.168.137.179,80,6,03/12/2021 01:06:02 AM,1014034,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9446409094764077,338011.3333333334,579370.6374354273,1007010.0,2551.0,0,0,0,0,0,1014034.0,507017.0,710704.5404892247,1009561.0,4473.0,0,0,0,0,44,84,0.9861602273691019,2.958480682107306,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.179-192.168.137.5-80-50125-6,192.168.137.5,50125,192.168.137.179,80,6,03/12/2021 01:06:07 AM,1027940,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891277701033134,342646.6666666666,584563.2273906163,1017640.0,3678.0,0,0,0,0,0,1027940.0,513970.0,721661.8671704914,1024262.0,3678.0,0,0,0,0,44,84,0.9728194252582835,2.9184582757748503,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2920,0,0,0,0,0,0,0,0,0,0,No Label
