Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.64-55625-80-6,192.168.137.5,55625,192.168.137.64,80,6,02/12/2021 09:45:44 PM,1046970,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.820548821838257,348990.0,566629.5210620428,1002968.0,4577.0,0,0,0,0,0,1046970.0,523485.0,733846.731223898,1042393.0,4577.0,0,0,0,0,44,84,0.9551372054595643,2.865411616378693,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56467-80-6,192.168.137.5,56467,192.168.137.64,80,6,02/12/2021 09:47:43 PM,1122167,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5645318388439513,374055.6666666667,531291.4593350182,984962.0,19964.0,0,0,0,0,0,1122167.0,561083.5,765258.535764548,1102203.0,19964.0,0,0,0,0,44,84,0.8911329597109878,2.6733988791329635,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56298-80-6,192.168.137.5,56298,192.168.137.64,80,6,02/12/2021 09:47:20 PM,1015225,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.940013297544879,338408.3333333334,570388.8072151603,997034.0,7494.0,0,0,0,0,0,1015225.0,507612.5,702744.6394534077,1004528.0,10697.0,0,0,0,0,44,84,0.9850033243862197,2.9550099731586594,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-55941-80-6,192.168.137.5,55941,192.168.137.64,80,6,02/12/2021 09:46:34 PM,1012986,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9487218974398464,337662.0,576222.8358786209,1003026.0,4076.0,0,0,0,0,0,1012986.0,506493.0,707968.0372460327,1007102.0,5884.0,0,0,0,0,44,84,0.9871804743599616,2.961541423079885,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56484-80-6,192.168.137.5,56484,192.168.137.64,80,6,02/12/2021 09:47:45 PM,1027430,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893209269731271,342476.6666666666,572218.0442115867,1003188.0,6746.0,0,0,0,0,0,1027430.0,513715.0,716962.4355027257,1020684.0,6746.0,0,0,0,0,44,84,0.9733023174328177,2.919906952298453,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-55642-80-6,192.168.137.5,55642,192.168.137.64,80,6,02/12/2021 09:45:48 PM,1014347,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.943423700173609,338115.6666666666,576755.0267499482,1004095.0,5045.0,0,0,0,0,0,1014347.0,507173.5,709887.8321569542,1009140.0,5207.0,0,0,0,0,44,84,0.9858559250434022,2.9575677751302067,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-55755-80-6,192.168.137.5,55755,192.168.137.64,80,6,02/12/2021 09:46:07 PM,1013732,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9458160539471967,337910.6666666666,563639.1659690918,988695.0,5524.0,0,0,0,0,0,1013732.0,506866.0,689221.222263215,994219.0,19513.0,0,0,0,0,44,84,0.9864540134867992,2.9593620404603977,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-55924-80-6,192.168.137.5,55924,192.168.137.64,80,6,02/12/2021 09:46:31 PM,1012374,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9511089775122628,337458.0,577141.1543842632,1003880.0,2458.0,0,0,0,0,0,1012374.0,506187.0,707320.3274344659,1006338.0,6036.0,0,0,0,0,44,84,0.9877772443780657,2.963331733134197,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56168-80-6,192.168.137.5,56168,192.168.137.64,80,6,02/12/2021 09:47:04 PM,1111394,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5990836732967786,370464.6666666666,551889.5678034994,1005641.0,8207.0,0,0,0,0,0,1111394.0,555697.0,774267.7832636458,1103187.0,8207.0,0,0,0,0,44,84,0.8997709183241946,2.699312754972584,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.64-56523-80-6,192.168.137.5,56523,192.168.137.64,80,6,02/12/2021 09:47:49 PM,1031996,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8759840154419205,343998.6666666666,573285.4678468079,1005921.0,5942.0,0,0,0,0,0,1031996.0,515998.0,721328.1127697714,1026054.0,5942.0,0,0,0,0,44,84,0.9689960038604801,2.9069880115814404,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
