Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.51-53281-80-6,192.168.137.5,53281,192.168.137.51,80,6,02/12/2021 09:05:30 PM,26033,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,76.82556754888027,26033.0,0.0,26033.0,26033.0,0,0,0,0,0,26033.0,26033.0,0.0,26033.0,26033.0,0,0,0,0,0,64,0.0,76.82556754888027,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53134-80-6,192.168.137.5,53134,192.168.137.51,80,6,02/12/2021 09:05:30 PM,20929,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.56118304744614,20929.0,0.0,20929.0,20929.0,0,0,0,0,0,20929.0,20929.0,0.0,20929.0,20929.0,0,0,0,0,0,64,0.0,95.56118304744614,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53450-80-6,192.168.137.5,53450,192.168.137.51,80,6,02/12/2021 09:05:31 PM,6601,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,302.98439630359036,6601.0,0.0,6601.0,6601.0,0,0,0,0,0,6601.0,6601.0,0.0,6601.0,6601.0,0,0,0,0,0,64,0.0,302.98439630359036,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-52867-80-6,192.168.137.5,52867,192.168.137.51,80,6,02/12/2021 09:05:28 PM,20275,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,98.64364981504315,20275.0,0.0,20275.0,20275.0,0,0,0,0,0,20275.0,20275.0,0.0,20275.0,20275.0,0,0,0,0,0,64,0.0,98.64364981504315,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53117-80-6,192.168.137.5,53117,192.168.137.51,80,6,02/12/2021 09:05:29 PM,18276,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,109.4331363536879,18276.0,0.0,18276.0,18276.0,0,0,0,0,0,18276.0,18276.0,0.0,18276.0,18276.0,0,0,0,0,0,64,0.0,109.4331363536879,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-52884-80-6,192.168.137.5,52884,192.168.137.51,80,6,02/12/2021 09:05:28 PM,22472,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,88.999644001424,22472.0,0.0,22472.0,22472.0,0,0,0,0,0,22472.0,22472.0,0.0,22472.0,22472.0,0,0,0,0,0,64,0.0,88.999644001424,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53095-80-6,192.168.137.5,53095,192.168.137.51,80,6,02/12/2021 09:05:29 PM,21695,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,92.18713989398479,21695.0,0.0,21695.0,21695.0,0,0,0,0,0,21695.0,21695.0,0.0,21695.0,21695.0,0,0,0,0,0,64,0.0,92.18713989398479,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53320-80-6,192.168.137.5,53320,192.168.137.51,80,6,02/12/2021 09:05:31 PM,24440,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,81.83306055646482,24440.0,0.0,24440.0,24440.0,0,0,0,0,0,24440.0,24440.0,0.0,24440.0,24440.0,0,0,0,0,0,64,0.0,81.83306055646482,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-52997-80-6,192.168.137.5,52997,192.168.137.51,80,6,02/12/2021 09:05:29 PM,23311,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,85.79640513062503,23311.0,0.0,23311.0,23311.0,0,0,0,0,0,23311.0,23311.0,0.0,23311.0,23311.0,0,0,0,0,0,64,0.0,85.79640513062503,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.51-53004-80-6,192.168.137.5,53004,192.168.137.51,80,6,02/12/2021 09:05:29 PM,6855,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,291.75784099197665,6855.0,0.0,6855.0,6855.0,0,0,0,0,0,6855.0,6855.0,0.0,6855.0,6855.0,0,0,0,0,0,64,0.0,291.75784099197665,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,4380,0,0,0,0,0,0,0,0,0,0,No Label
