Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.142-192.168.137.5-80-57621-6,192.168.137.5,57621,192.168.137.142,80,6,30/11/2021 01:26:32 AM,549630,18,19,12022.0,315.0,1398.0,0.0,667.8888888888889,660.2282928599852,286.0,0.0,16.578947368421055,65.58058299143944,22446.00913341703,67.3180139366483,15267.5,53684.155641519195,251407.0,0.0,203714.0,11983.176470588236,46603.2428314212,192752.0,0.0,549630.0,30535.0,108278.61869487709,455226.0,1.0,0,0,0,0,576,628,32.74930407728836,34.568709859359934,0.0,1398.0,324.657894736842,557.9164073933399,311270.71763869125,0,1,0,0,0,0,0,0,1.0,333.43243243243245,667.8888888888889,16.57894736842105,0,0,0,0,0,0,18,12022,19,315,-1,4328,17,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57619-6,192.168.137.5,57619,192.168.137.142,80,6,30/11/2021 01:26:31 AM,1551608,34,13,31750.0,315.0,1398.0,0.0,933.8235294117649,640.0019635665066,286.0,0.0,24.23076923076923,79.05921182480239,20665.657820789787,30.291156013632307,33730.608695652154,154164.9236514769,1005421.0,0.0,546045.0,16546.81818181818,56465.45226865193,282602.0,0.0,1551608.0,129300.6666666667,328701.4636708108,1096131.0,1.0,0,0,0,0,1100,436,21.91275115879784,8.378404854834468,0.0,1398.0,668.0208333333333,681.4928697144463,464432.5314716313,0,1,0,0,0,0,0,0,0.0,682.2340425531914,933.8235294117648,24.23076923076923,0,0,0,0,0,0,34,31750,13,315,-1,4402,32,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57615-6,192.168.137.5,57615,192.168.137.142,80,6,30/11/2021 01:26:29 AM,3552475,34,19,31222.0,315.0,1398.0,0.0,918.2941176470588,659.5186734053933,286.0,0.0,16.578947368421055,65.58058299143944,8877.472747872962,14.919176067389637,68316.82692307692,239477.21196993053,1012714.0,0.0,2539667.0,76959.60606060606,246637.04449351522,1005968.0,0.0,3552475.0,197359.72222222225,731536.5422535039,3096994.0,0.0,0,0,0,0,1124,628,9.570792194174484,5.348383873215153,0.0,1398.0,584.0185185185187,682.5211999123832,465835.1883298393,0,1,0,0,0,0,0,0,0.0,595.0377358490566,918.2941176470588,16.57894736842105,0,0,0,0,0,0,34,31222,19,315,-1,4194,30,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57611-6,192.168.137.5,57611,192.168.137.142,80,6,30/11/2021 01:26:27 AM,5631305,34,15,28426.0,315.0,1398.0,0.0,836.0588235294117,682.0247014622232,286.0,0.0,21.000000000000004,73.68950303226951,5103.790329239848,8.70135785577233,117318.85416666667,311182.67626048496,1014147.0,0.0,4617496.0,139924.12121212122,335271.1093353927,1014147.0,0.0,5631305.0,402236.07142857136,1356897.0498257845,5097810.0,0.0,0,0,0,0,1148,500,6.037676879515494,2.6636809762568356,0.0,1398.0,574.82,680.3022644533884,462811.171020408,0,1,0,0,0,0,0,0,0.0,586.5510204081633,836.0588235294117,21.0,0,0,0,0,0,0,34,28426,15,315,-1,4194,28,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57613-6,192.168.137.5,57613,192.168.137.142,80,6,30/11/2021 01:26:28 AM,4631338,21,19,11650.0,315.0,1398.0,0.0,554.7619047619047,678.2399210280905,286.0,0.0,16.578947368421055,65.58058299143944,2583.4866727498616,8.63681294692808,118752.25641025638,311276.63435310347,1013151.0,0.0,3244205.0,162210.25,366190.7907055635,1013151.0,0.0,4631338.0,257296.55555555556,966613.229353196,4097661.0,0.0,0,0,0,0,720,628,4.534326797137242,4.102486149790837,0.0,1398.0,291.829268292683,553.4903749135582,306351.59512195125,0,1,0,0,0,0,0,0,0.0,299.125,554.7619047619048,16.57894736842105,0,0,0,0,0,0,21,11650,19,315,-1,4194,16,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57607-6,192.168.137.5,57607,192.168.137.142,80,6,30/11/2021 01:26:25 AM,7632209,42,19,38212.0,315.0,1398.0,0.0,909.8095238095236,663.1631237392297,286.0,0.0,16.578947368421055,65.58058299143944,5047.948765553983,7.992443603156046,127203.4833333333,374884.8929080242,2012655.0,0.0,6624353.0,161569.58536585362,423577.4225318775,2012655.0,0.0,7632209.0,424011.61111111124,1669195.81414338,7098531.0,0.0,0,0,0,0,1416,628,5.502993956271376,2.4894496468846703,0.0,1398.0,621.4032258064517,688.7702859986553,474404.5068746694,0,1,0,0,0,0,0,0,0.0,631.5901639344262,909.8095238095239,16.57894736842105,0,0,0,0,0,0,42,38212,19,315,-1,4194,35,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57599-6,192.168.137.5,57599,192.168.137.142,80,6,30/11/2021 01:26:21 AM,11636464,43,16,38212.0,315.0,1398.0,0.0,888.6511627906978,669.7494515087226,286.0,0.0,19.6875,71.38414273025441,3310.8855061125096,5.070268768931868,200628.68965517246,637390.5145202259,4030550.0,0.0,1.0630821E7,253114.78571428577,729051.8497463419,4030550.0,0.0,1.1636464E7,775764.2666666668,2860242.9289670843,1.1106427E7,0.0,0,0,0,0,1460,532,3.6952806282045816,1.3749881407272861,0.0,1398.0,642.1166666666666,690.6230076536439,476960.13870056503,0,1,0,0,0,0,0,0,0.0,653.0,888.6511627906976,19.6875,0,0,0,0,0,0,43,38212,16,315,-1,4194,35,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.5-80-57622-6,192.168.137.5,57622,192.168.137.142,80,6,30/11/2021 01:26:32 AM,11414961,40,24,42410.0,315.0,1398.0,0.0,1060.2499999999998,582.9565999591199,286.0,0.0,13.125,58.4222355674246,3742.8949603945207,5.606677061796357,181189.85714285707,732055.3190317469,5020315.0,0.0,1.12245E7,287807.6923076925,918154.8139404996,5020315.0,0.0,1.1414961E7,496302.65217391326,2105352.36829864,1.0127442E7,0.0,0,0,0,0,1280,944,3.5041731636227227,2.1025038981736337,0.0,1398.0,657.3076923076923,687.1370160645939,472157.27884615393,0,1,0,0,0,0,0,0,0.0,667.578125,1060.25,13.125,0,0,0,0,0,0,40,42410,24,315,-1,3146,39,0,4982402.0,0.0,4982402.0,4982402.0,5020315.0,0.0,5020315.0,5020315.0,No Label
192.168.137.142-192.168.137.5-80-57620-6,192.168.137.5,57620,192.168.137.142,80,6,30/11/2021 01:26:31 AM,12433851,42,26,43866.0,315.0,1398.0,0.0,1044.4285714285713,600.8813909525167,286.0,0.0,12.115384615384615,56.15003253646567,3553.2836930408766,5.46894119931146,185579.8656716419,725908.2430494145,5075955.0,0.0,1.0719983E7,261463.0000000001,905012.1882738929,5075955.0,0.0,1.2433851E7,497354.04000000015,2025239.3811530338,1.0127452E7,0.0,0,0,0,0,1356,1248,3.3778754466335488,2.091065752677911,0.0,1398.0,640.304347826087,690.3925844880669,476641.92071611254,0,1,0,0,0,0,0,0,0.0,649.7205882352941,1044.4285714285713,12.115384615384615,0,0,0,0,0,0,42,43866,26,315,-1,3483,40,0,6025358.0,0.0,6025358.0,6025358.0,5075955.0,0.0,5075955.0,5075955.0,No Label
192.168.137.142-192.168.137.5-80-57618-6,192.168.137.5,57618,192.168.137.142,80,6,30/11/2021 01:26:30 AM,13887878,30,7,24700.0,315.0,1398.0,0.0,823.3333333333333,664.8738191584166,286.0,0.0,45.00000000000001,106.81916182658117,1801.211099348655,2.6641939106895953,385774.38888888893,980485.0556850283,5097091.0,0.0,1.1856949E7,408860.3103448275,1070627.799845796,5097091.0,0.0,1.3887878E7,2314646.333333333,3982583.2462254283,1.0267924E7,1.0,0,0,0,0,984,244,2.1601572248834557,0.5040366858061397,0.0,1398.0,658.2894736842105,673.2638897873607,453284.26529160736,0,1,0,0,0,0,0,0,0.0,676.081081081081,823.3333333333334,45.0,0,0,0,0,0,0,30,24700,7,315,-1,2796,27,0,7043179.0,0.0,7043179.0,7043179.0,5097091.0,0.0,5097091.0,5097091.0,No Label
