Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.111-49714-80-6,192.168.137.5,49714,192.168.137.111,80,6,30/11/2021 03:29:58 AM,61689273,1320,720,1575616.0,0.0,1444.0,0.0,1193.6484848484872,363.58264163555526,0.0,0.0,0.0,0.0,25541.166614169695,33.06895835844912,30254.670426679742,242970.72086625412,4013711.0,0.0,6.1275014E7,46455.65883244884,335300.7737425609,5397318.0,0.0,6.1689273E7,85798.7107093185,542889.937642945,8781705.0,0.0,0,0,0,0,42240,33024,21.3975612907612,11.671397067687927,0.0,1444.0,771.9823615874549,641.2096348053146,411149.795767165,0,1,0,0,0,0,0,0,0.0,772.3607843137255,1193.648484848485,0.0,0,0,0,0,0,0,1320,1575616,720,0,-1,1689,1319,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49712-80-6,192.168.137.5,49712,192.168.137.111,80,6,30/11/2021 03:29:58 AM,61905636,1217,547,1738037.0,0.0,1444.0,0.0,1428.132292522596,136.0481837683412,0.0,0.0,0.0,0.0,28075.585880419676,28.494982266235017,35113.803743618824,483446.30020808446,1.1221126E7,0.0,5.5907974E7,45976.95230263159,609979.0976003935,1.2862707E7,0.0,6.1905636E7,113380.2857142857,1080948.8154459246,1.7145271E7,0.0,0,0,0,0,38944,24844,19.6589531848118,8.836029081423217,0.0,1444.0,984.7235127478763,670.5532715238761,449641.6899513731,0,1,0,0,0,0,0,0,0.0,985.281746031746,1428.1322925225966,0.0,0,0,0,0,0,0,1217,1738037,547,0,-1,0,1216,0,6053092.333333334,8128218.527664369,1.5431203E7,1038128.0,9462261.5,2015780.8176579282,1.1221126E7,7451481.0,No Label
192.168.137.5-192.168.137.111-49713-80-6,192.168.137.5,49713,192.168.137.111,80,6,30/11/2021 03:29:58 AM,61907352,1087,368,1552476.0,0.0,1444.0,0.0,1428.2207911683531,134.63854828150582,0.0,0.0,0.0,0.0,25077.40922273658,23.50286279406685,42577.27097661625,277768.2084887823,5630849.0,0.0,6.0407761E7,55624.08931860038,321946.8781437396,5630849.0,0.0,6.1907352E7,168684.88283378753,677783.8139668367,8017714.0,0.0,0,0,0,0,34784,16044,17.558496121753034,5.944366672313815,0.0,1444.0,1066.260989010989,632.2492509628431,399739.11534307624,0,1,0,0,0,0,0,0,0.0,1066.9938144329897,1428.2207911683533,0.0,0,0,0,0,0,0,1087,1552476,368,0,-1,368,1086,0,5.3807059E7,0.0,5.3807059E7,5.3807059E7,5630849.0,0.0,5630849.0,5630849.0,No Label
192.168.137.5-192.168.137.111-49712-80-6,192.168.137.5,49712,192.168.137.111,80,6,30/11/2021 03:31:00 AM,121573,12,7,17328.0,0.0,1444.0,1444.0,1444.0,0.0,0.0,0.0,0.0,0.0,142531.647652028,156.28470137283773,6754.055555555556,28183.44600787996,119672.0,0.0,54.0,4.90909090909091,13.96749473208811,47.0,0.0,121573.0,20262.166666666664,48794.60263355637,119854.0,1.0,0,0,0,0,384,224,98.70612718284488,57.57857418999284,0.0,1444.0,866.4000000000001,725.7900522878499,526771.2,0,0,0,0,1,0,0,0,0.0,912.0,1444.0,0.0,0,0,0,0,0,0,12,17328,7,0,-1,6544,12,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49714-80-6,192.168.137.5,49714,192.168.137.111,80,6,30/11/2021 03:31:00 AM,625534,2,5,2376.0,0.0,1188.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,3798.3546857564893,11.190438889013226,104255.66666666666,126204.66144903947,291942.0,0.0,0.0,0.0,0.0,0.0,0.0,625534.0,156383.5,125373.17886613548,292156.0,5.0,0,0,0,0,64,160,3.197268254003779,7.993170635009448,0.0,1188.0,297.0,549.9371392648956,302430.85714285716,0,0,0,0,1,0,0,0,2.0,339.42857142857144,1188.0,0.0,0,0,0,0,0,0,2,2376,5,0,-1,8149,2,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49713-80-6,192.168.137.5,49713,192.168.137.111,80,6,30/11/2021 03:31:00 AM,411824,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.8564435292746415,411824.0,0.0,411824.0,411824.0,0,0,0,0,0,411824.0,411824.0,0.0,411824.0,411824.0,0,0,0,0,0,76,0.0,4.8564435292746415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,368,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49712-80-6,192.168.137.5,49712,192.168.137.111,80,6,30/11/2021 03:31:00 AM,584491,0,2,0.0,640.0,0,0,0,0,640.0,0.0,320.0,452.54833995939043,1094.9698113401232,3.4217806604378853,584491.0,0.0,584491.0,584491.0,0,0,0,0,0,584491.0,584491.0,0.0,584491.0,584491.0,0,0,0,0,0,64,0.0,3.4217806604378853,0.0,640.0,426.66666666666663,369.5041722813605,136533.33333333334,0,0,0,0,1,0,0,0,0.0,640.0,0.0,320.0,0,0,0,0,0,0,0,0,2,640,-1,6544,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49714-80-6,192.168.137.5,49714,192.168.137.111,80,6,30/11/2021 03:31:00 AM,1858031,2,4,2376.0,0.0,1188.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,1278.7730667572284,3.2292249160536075,371606.2,639695.7468603336,1477324.0,1.0,1.0,1.0,0.0,1.0,1.0,1858031.0,619343.6666666666,767020.6802572754,1477324.0,30.0,0,0,0,0,64,128,1.0764083053512024,2.1528166107024047,0.0,1188.0,339.42857142857144,579.6846433314287,336034.28571428574,0,0,0,0,1,0,0,0,2.0,396.0,1188.0,0.0,0,0,0,0,0,0,2,2376,4,0,-1,8223,2,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49715-80-6,192.168.137.5,49715,192.168.137.111,80,6,30/11/2021 03:29:59 AM,63455651,475,128,672400.0,0.0,1444.0,0.0,1415.5789473684215,195.88860494529268,0.0,0.0,0.0,0.0,10596.376987764257,9.502699767432848,105408.05813953484,433430.51156826084,3363524.0,0.0,6.051197E7,127662.38396624466,488681.324004193,3363524.0,0.0,6.3455651E7,499650.79527559056,1201214.9615956785,8903911.0,0.0,0,0,0,0,15200,5216,7.485542934544947,2.0171568328879013,0.0,1444.0,1113.2450331125829,606.0472149577474,367293.22675804206,0,1,0,0,0,0,0,0,0.0,1115.0912106135986,1415.578947368421,0.0,0,0,0,0,0,0,475,672400,128,0,-1,4709,474,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.111-49715-80-6,192.168.137.5,49715,192.168.137.111,80,6,30/11/2021 03:31:02 AM,1737296,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1512143008445308,1737296.0,0.0,1737296.0,1737296.0,0,0,0,0,0,1737296.0,1737296.0,0.0,1737296.0,1737296.0,0,0,0,0,0,76,0.0,1.1512143008445308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,7807,0,0,0,0,0,0,0,0,0,0,No Label
