Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.46-49531-80-6,192.168.137.5,49531,192.168.137.46,80,6,02/12/2021 10:24:12 PM,14545,10,6,11684.0,763.0,1460.0,0.0,1168.4,607.4776996364192,763.0,0.0,127.16666666666667,311.49344562392747,855757.9924372636,1100.0343760742524,969.6666666666667,2867.921464023993,11282.0,1.0,2061.0,229.00000000000003,202.49814813968052,600.0,1.0,14545.0,2909.0,4762.692778250556,11282.0,1.0,0,0,0,0,200,156,687.5214850464076,412.5128910278446,0.0,1460.0,732.1764705882352,726.3615005021705,527601.0294117647,0,1,0,0,0,0,0,0,0.0,777.9375,1168.4,127.16666666666667,0,0,0,0,0,0,10,11684,6,763,-1,4380,9,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49532-80-6,192.168.137.5,49532,192.168.137.46,80,6,02/12/2021 10:24:12 PM,26832,55,31,18820.0,763.0,1460.0,0.0,342.18181818181813,458.3990292678095,763.0,0.0,24.612903225806452,137.03884544642924,729837.5074537864,3205.128205128205,315.6705882352941,1323.592544376634,11195.0,0.0,14402.0,266.7037037037037,697.0536816346095,3640.0,1.0,26832.0,894.4000000000003,3094.8173763735153,13170.0,0.0,0,0,0,0,1100,656,2049.7912939773405,1155.3369111508646,0.0,1460.0,225.0919540229885,402.9117461269498,162337.87516706766,0,1,0,0,0,0,0,0,0.0,227.7093023255814,342.1818181818182,24.612903225806452,0,0,0,0,0,0,55,18820,31,763,-1,7416,54,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49533-80-6,192.168.137.5,49533,192.168.137.46,80,6,02/12/2021 10:24:12 PM,126795,15,17,11488.0,763.0,1460.0,0.0,765.8666666666668,647.6786975330401,763.0,0.0,44.88235294117647,185.05468190272208,96620.52920067827,252.37588232974488,4090.1612903225814,16019.82343035606,80080.0,0.0,3981.0,284.35714285714283,381.5362886547485,1355.0,0.0,126795.0,7924.6875,22493.20767318807,80080.0,0.0,0,0,0,0,300,376,118.30119484206791,134.07468748767698,0.0,1460.0,371.24242424242414,578.3916833720376,334536.9393939394,0,1,0,0,0,0,0,0,1.0,382.84375,765.8666666666667,44.88235294117647,0,0,0,0,0,0,15,11488,17,763,-1,7300,14,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49534-80-6,192.168.137.5,49534,192.168.137.46,80,6,02/12/2021 10:24:13 PM,193385,10,4,11244.0,763.0,1460.0,0.0,1124.4,602.1751683134513,763.0,0.0,190.75,381.5,62088.57977609432,72.39444631176151,14875.76923076923,35590.95319308416,114958.0,6.0,6719.0,746.5555555555555,897.5175640497392,1943.0,6.0,193385.0,64461.66666666667,60013.73693025067,121732.0,2037.0,0,0,0,0,200,116,51.710318794115366,20.684127517646147,0.0,1460.0,800.4666666666666,700.8797397013338,491232.40952380945,0,1,0,0,0,0,0,0,0.0,857.6428571428571,1124.4,190.75,0,0,0,0,0,0,10,11244,4,763,-1,3650,9,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49535-80-6,192.168.137.5,49535,192.168.137.46,80,6,02/12/2021 10:24:13 PM,181827,16,18,11616.0,763.0,1460.0,0.0,726.0,620.1900783899508,763.0,0.0,42.388888888888886,179.84082468177857,68081.198061894,186.99093093984942,5509.909090909091,21533.747680042303,90798.0,0.0,3576.0,238.39999999999998,471.6598047624702,1931.0,11.0,181827.0,10695.705882352942,30219.725643536014,94681.0,0.0,0,0,0,0,320,396,87.99573220698797,98.99519873286147,0.0,1460.0,353.68571428571425,553.2429937053281,306077.8100840337,0,1,0,0,0,0,0,0,1.0,364.0882352941176,726.0,42.388888888888886,0,0,0,0,0,0,16,11616,18,763,-1,7434,15,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49536-80-6,192.168.137.5,49536,192.168.137.46,80,6,02/12/2021 10:24:14 PM,373016,17,19,11272.0,763.0,1460.0,0.0,663.0588235294118,652.4929569148845,763.0,0.0,40.1578947368421,175.0442049432386,32264.03156969138,96.51060544319814,10657.6,43757.86624892516,225777.0,0.0,9500.0,593.75,1914.7754089361672,7760.0,0.0,373016.0,20723.11111111111,61370.874536694464,225777.0,0.0,0,0,0,0,340,416,45.574452570399124,50.93615287279902,0.0,1460.0,325.27027027027026,551.6010358064084,304263.7027027026,0,1,0,0,0,0,0,0,1.0,334.30555555555554,663.0588235294117,40.1578947368421,0,0,0,0,0,0,17,11272,19,763,-1,6935,16,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49537-80-6,192.168.137.5,49537,192.168.137.46,80,6,02/12/2021 10:24:14 PM,402487,17,12,20496.0,763.0,1460.0,0.0,1205.6470588235295,566.4063185091236,763.0,0.0,63.583333333333336,220.25912769584224,52819.09726276874,72.05201658687113,14374.535714285717,47955.48158099701,197707.0,0.0,208506.0,13031.625000000002,50959.70978707918,204086.0,0.0,402487.0,36589.72727272727,77104.08348990462,212923.0,1.0,0,0,0,0,340,276,42.23738903368308,29.814627553188053,0.0,1460.0,708.6333333333334,727.8056998826055,529701.1367816093,0,1,0,0,0,0,0,0,0.0,733.0689655172414,1205.6470588235295,63.583333333333336,0,0,0,0,0,0,17,20496,12,763,-1,6205,16,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49538-80-6,192.168.137.5,49538,192.168.137.46,80,6,02/12/2021 10:24:15 PM,519887,10,12,10516.0,763.0,1460.0,0.0,1051.6,599.2156354583697,763.0,0.0,63.583333333333336,220.25912769584224,21695.099127310357,42.31688809298944,24756.52380952381,74254.74525753828,274085.0,0.0,22718.0,2524.222222222222,7570.416728585319,22712.0,0.0,519887.0,47262.45454545454,106713.77797019805,301604.0,0.0,0,0,0,0,200,276,19.234949133177018,23.081938959812422,0.0,1460.0,490.3913043478261,651.613573379083,424600.24901185767,0,1,0,0,0,0,0,0,1.0,512.6818181818181,1051.6,63.583333333333336,0,0,0,0,0,0,10,10516,12,763,-1,6570,9,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49539-80-6,192.168.137.5,49539,192.168.137.46,80,6,02/12/2021 10:24:15 PM,491843,15,5,14280.0,763.0,1460.0,0.0,952.0,601.9416203301731,763.0,0.0,152.6,341.22397336646793,30584.96308781461,40.66338242081315,25886.47368421053,72950.24834499533,284922.0,0.0,291002.0,20785.85714285714,76165.90023086462,285365.0,0.0,491843.0,122960.75000000001,140312.6254247398,303952.0,1.0,0,0,0,0,300,136,30.497536815609863,10.165845605203288,0.0,1460.0,716.3333333333333,650.9070082072657,423679.9333333334,0,1,0,0,0,0,0,0,0.0,752.15,952.0,152.6,0,0,0,0,0,0,15,14280,5,763,-1,4015,14,0,0,0,0,0,0,0,0,0,No Label
192.168.137.5-192.168.137.46-49540-80-6,192.168.137.5,49540,192.168.137.46,80,6,02/12/2021 10:24:16 PM,599578,16,13,17596.0,763.0,1460.0,0.0,1099.75,644.4734801888023,763.0,0.0,58.69230769230769,211.61812485992493,30619.869308080015,48.36735170403183,21413.500000000004,77514.73673628968,298267.0,0.0,305521.0,20368.06666666667,76922.34080594966,298398.0,0.0,599578.0,49964.833333333336,116609.41123007286,305691.0,0.0,0,0,0,0,320,296,26.685435422914114,21.68191628111772,0.0,1460.0,611.9666666666667,717.4779815597051,514774.6540229885,0,1,0,0,0,0,0,0,0.0,633.0689655172414,1099.75,58.69230769230769,0,0,0,0,0,0,16,17596,13,763,-1,6205,15,0,0,0,0,0,0,0,0,0,No Label
