Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.138-192.168.137.5-80-57510-6,192.168.137.5,57510,192.168.137.138,80,6,02/12/2021 11:09:42 PM,8219,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,243.3386056697895,8219.0,0.0,8219.0,8219.0,0,0,0,0,0,8219.0,8219.0,0.0,8219.0,8219.0,0,0,0,0,0,64,0.0,243.3386056697895,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57556-6,192.168.137.5,57556,192.168.137.138,80,6,02/12/2021 11:09:42 PM,5109,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,391.46604032100214,5109.0,0.0,5109.0,5109.0,0,0,0,0,0,5109.0,5109.0,0.0,5109.0,5109.0,0,0,0,0,0,64,0.0,391.46604032100214,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-58201-6,192.168.137.5,58201,192.168.137.138,80,6,02/12/2021 11:09:44 PM,6614,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,302.3888720895071,6614.0,0.0,6614.0,6614.0,0,0,0,0,0,6614.0,6614.0,0.0,6614.0,6614.0,0,0,0,0,0,64,0.0,302.3888720895071,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-58247-6,192.168.137.5,58247,192.168.137.138,80,6,02/12/2021 11:09:44 PM,4934,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,405.35062829347385,4934.0,0.0,4934.0,4934.0,0,0,0,0,0,4934.0,4934.0,0.0,4934.0,4934.0,0,0,0,0,0,64,0.0,405.35062829347385,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57861-6,192.168.137.5,57861,192.168.137.138,80,6,02/12/2021 11:09:43 PM,12655,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,158.04030027657052,12655.0,0.0,12655.0,12655.0,0,0,0,0,0,12655.0,12655.0,0.0,12655.0,12655.0,0,0,0,0,0,64,0.0,158.04030027657052,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57906-6,192.168.137.5,57906,192.168.137.138,80,6,02/12/2021 11:09:43 PM,4860,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,411.52263374485597,4860.0,0.0,4860.0,4860.0,0,0,0,0,0,4860.0,4860.0,0.0,4860.0,4860.0,0,0,0,0,0,64,0.0,411.52263374485597,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57401-6,192.168.137.5,57401,192.168.137.138,80,6,02/12/2021 11:09:42 PM,5430,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,368.3241252302026,5430.0,0.0,5430.0,5430.0,0,0,0,0,0,5430.0,5430.0,0.0,5430.0,5430.0,0,0,0,0,0,64,0.0,368.3241252302026,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57654-6,192.168.137.5,57654,192.168.137.138,80,6,02/12/2021 11:09:42 PM,5814,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,343.99724802201587,5814.0,0.0,5814.0,5814.0,0,0,0,0,0,5814.0,5814.0,0.0,5814.0,5814.0,0,0,0,0,0,64,0.0,343.99724802201587,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-58138-6,192.168.137.5,58138,192.168.137.138,80,6,02/12/2021 11:09:44 PM,3101,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,644.9532408900354,3101.0,0.0,3101.0,3101.0,0,0,0,0,0,3101.0,3101.0,0.0,3101.0,3101.0,0,0,0,0,0,64,0.0,644.9532408900354,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57752-6,192.168.137.5,57752,192.168.137.138,80,6,02/12/2021 11:09:43 PM,9380,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,213.21961620469085,9380.0,0.0,9380.0,9380.0,0,0,0,0,0,9380.0,9380.0,0.0,9380.0,9380.0,0,0,0,0,0,64,0.0,213.21961620469085,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.138-192.168.137.5-80-57808-6,192.168.137.5,57808,192.168.137.138,80,6,02/12/2021 11:09:43 PM,4917,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,406.75208460443355,4917.0,0.0,4917.0,4917.0,0,0,0,0,0,4917.0,4917.0,0.0,4917.0,4917.0,0,0,0,0,0,64,0.0,406.75208460443355,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
