Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.202-192.168.137.5-80-52212-6,192.168.137.5,52212,192.168.137.202,80,6,30/11/2021 11:47:41 PM,3269860,35,13,35928.0,0.0,1448.0,0.0,1026.5142857142857,654.5299782568974,0.0,0.0,0.0,0.0,10987.62638155762,14.679527563871236,69571.48936170212,330425.84154580784,2209378.0,0.0,1053761.0,30992.97058823529,100920.17983279638,383638.0,0.0,3269860.0,272488.3333333333,719794.9048368928,2511505.0,1.0,0,0,0,0,1132,436,10.703822181989443,3.975705381881793,0.0,1448.0,733.2244897959183,723.1764211134249,522984.1360544216,0,1,0,0,0,0,0,0,0.0,748.5,1026.5142857142857,0.0,0,0,0,0,0,0,35,35928,13,0,-1,1086,33,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-52283-6,192.168.137.5,52283,192.168.137.202,80,6,30/11/2021 11:47:43 PM,1132325,34,16,33032.0,0.0,1448.0,0.0,971.5294117647059,673.4175270776675,0.0,0.0,0.0,0.0,29171.83670765902,44.15693374252092,23108.673469387748,83012.15981117559,428541.0,0.0,559617.0,16958.090909090915,75442.42139015837,428692.0,0.0,1132325.0,75488.33333333334,140570.13166574118,434447.0,0.0,0,0,0,0,1088,532,30.026714944914225,14.130218797606695,0.0,1448.0,647.6862745098038,716.4132184764902,513247.89960784325,0,1,0,0,0,0,0,0,0.0,660.64,971.5294117647059,0.0,0,0,0,0,0,0,34,33032,16,0,-1,1086,33,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-55362-6,192.168.137.5,55362,192.168.137.202,80,6,30/11/2021 11:49:58 PM,504010,33,13,33032.0,0.0,1448.0,0.0,1000.9696969696971,657.6435434968021,0.0,0.0,0.0,0.0,65538.38217495685,91.2680303962223,11200.222222222223,43125.3078560231,213659.0,0.0,153663.0,4801.96875,27018.309189336862,152864.0,0.0,504010.0,42000.833333333336,77816.98431089721,213659.0,0.0,0,0,0,0,1056,436,65.47489137120296,25.793139025019347,0.0,1448.0,702.808510638298,717.6153335057132,514971.766882516,0,1,0,0,0,0,0,0,0.0,718.0869565217391,1000.969696969697,0.0,0,0,0,0,0,0,33,33032,13,0,-1,1132,32,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-51587-6,192.168.137.5,51587,192.168.137.202,80,6,30/11/2021 11:47:20 PM,320444,49,39,56020.0,0.0,1448.0,0.0,1143.2653061224491,579.4863665174462,0.0,0.0,0.0,0.0,174819.93733694497,274.6189661844191,3683.2643678160916,16009.677308500637,91191.0,0.0,154379.0,3216.229166666667,15219.509845099765,91360.0,0.0,320444.0,8432.736842105265,24093.652435000513,91345.0,0.0,0,0,0,0,1568,992,152.912833443597,121.70613274082211,0.0,1448.0,629.4382022471912,714.3274642986063,510263.72625127656,0,1,0,0,0,0,0,0,0.0,636.5909090909091,1143.265306122449,0.0,0,0,0,0,0,0,49,56020,39,0,-1,0,48,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-54292-6,192.168.137.5,54292,192.168.137.202,80,6,30/11/2021 11:48:55 PM,28542348,58,16,62236.0,0.0,1448.0,0.0,1073.034482758621,631.1646979854474,0.0,0.0,0.0,0.0,2180.4793354772355,2.5926388396637865,390991.0684931507,992466.573755906,6030100.0,0.0,2.6354373E7,462357.4210526316,1106083.4373211043,6030100.0,0.0,2.854224E7,1902815.9999999998,2883548.4505845765,9807462.0,0.0,0,0,0,0,1916,676,2.0320682797364813,0.5605705599273052,0.0,1448.0,829.8133333333336,715.1274445733305,511407.2619819819,0,1,0,0,0,0,0,0,0.0,841.027027027027,1073.0344827586207,0.0,0,0,0,0,0,0,58,62236,16,0,-1,1358,52,0,2.0063905E7,0.0,2.0063905E7,2.0063905E7,6030100.0,0.0,6030100.0,6030100.0,No Label
192.168.137.202-192.168.137.5-80-53997-6,192.168.137.5,53997,192.168.137.202,80,6,30/11/2021 11:48:45 PM,1867627,49,40,58036.0,0.0,1448.0,0.0,1184.4081632653063,561.4690522180537,0.0,0.0,0.0,0.0,31074.727448253856,47.65405511914317,21223.034090909092,94054.49586197035,494520.0,0.0,898026.0,18708.875,87173.87345442368,494726.0,0.0,1867627.0,47887.871794871804,137811.47361201356,496281.0,0.0,0,0,0,0,1568,1012,26.236502256606915,21.417552862536258,0.0,1448.0,644.8444444444444,722.4023577908803,521865.16654182295,0,1,0,0,0,0,0,0,0.0,652.0898876404494,1184.408163265306,0.0,0,0,0,0,0,0,49,58036,40,0,-1,0,48,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-52737-6,192.168.137.5,52737,192.168.137.202,80,6,30/11/2021 11:48:01 PM,2355206,54,27,64784.0,0.0,1448.0,0.0,1199.7037037037037,539.9045907897387,0.0,0.0,0.0,0.0,27506.72340338807,34.391896080427784,29440.074999999997,131581.5019227531,767745.0,0.0,1127907.0,21281.2641509434,108585.80081971886,635760.0,0.0,2355206.0,90584.84615384614,221427.03617375946,767949.0,0.0,0,0,0,0,1728,752,22.92793072028519,11.463965360142595,0.0,1448.0,790.048780487805,719.9830571127063,518375.60252935847,0,1,0,0,0,0,0,0,0.0,799.8024691358024,1199.7037037037037,0.0,0,0,0,0,0,0,54,64784,27,0,-1,0,53,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-53032-6,192.168.137.5,53032,192.168.137.202,80,6,30/11/2021 11:48:12 PM,4345394,49,38,55024.0,0.0,1448.0,0.0,1122.938775510204,604.9400937339191,0.0,0.0,0.0,0.0,12662.603206981923,20.021199458553127,50527.83720930232,245929.6200051533,2064197.0,0.0,1537044.0,32021.75000000002,115630.80860137798,611168.0,0.0,4345394.0,117443.0810810811,459089.7061842041,2715041.0,0.0,0,0,0,0,1592,968,11.276307741024175,8.744891717528953,0.0,1448.0,625.2727272727274,718.7896712053929,516658.59143155685,0,1,0,0,0,0,0,0,0.0,632.4597701149426,1122.938775510204,0.0,0,0,0,0,0,0,49,55024,38,0,-1,0,46,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-52594-6,192.168.137.5,52594,192.168.137.202,80,6,30/11/2021 11:47:54 PM,7603441,47,24,52360.0,0.0,1448.0,0.0,1114.0425531914896,610.8718629405597,0.0,0.0,0.0,0.0,6886.355796013936,9.33787741629086,108620.5857142857,245696.62851092906,1281060.0,0.0,6524073.0,141827.67391304346,295487.3860806962,1281060.0,0.0,7603441.0,330584.3913043478,385456.9740438837,1461667.0,1.0,0,0,0,0,1504,928,6.181411810784091,3.15646560550677,0.0,1448.0,727.2222222222221,725.9716795435049,527034.8794992174,0,1,0,0,0,0,0,0,0.0,737.4647887323944,1114.0425531914893,0.0,0,0,0,0,0,0,47,52360,24,0,-1,0,45,0,0,0,0,0,0,0,0,0,No Label
192.168.137.202-192.168.137.5-80-53285-6,192.168.137.5,53285,192.168.137.202,80,6,30/11/2021 11:48:21 PM,5921732,56,35,60932.0,0.0,1448.0,0.0,1088.0714285714287,629.0719241186064,0.0,0.0,0.0,0.0,10289.557176852988,15.367125699035348,65797.02222222224,259395.93342978525,2114207.0,0.0,3456884.0,62852.43636363636,170526.06121447997,592425.0,0.0,5921732.0,174168.58823529413,820121.1829404135,4772936.0,0.0,0,0,0,0,1852,900,9.456692737867908,5.910432961167442,0.0,1448.0,662.3043478260873,724.0611312169232,524264.52173913043,0,1,0,0,0,0,0,0,0.0,669.5824175824176,1088.0714285714287,0.0,0,0,0,0,0,0,56,60932,35,0,-1,0,50,0,0,0,0,0,0,0,0,0,No Label
