Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.249-192.168.137.5-80-60322-17,192.168.137.5,60322,192.168.137.249,80,17,30/11/2021 03:04:57 AM,85408776,7506,1,240192.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2812.638364001376,87.894948875043,11378.733812949627,303087.3160248328,1.3745259E7,0.0,8.5408775E7,11380.24983344439,303107.4819414593,1.3745259E7,0.0,0,0,0,0,0,0,0,0,0,60048,8,87.88324047636509,0.011708398677906354,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.004262688157716,32.0,32.0,0,0,0,0,0,0,7506,240192,1,32,-1,-1,7506,0,4335825.0,4007023.429747136,8322341.0,170850.0,1.12729626E7,2521190.1904233247,1.3745259E7,7532109.0,No Label
192.168.137.249-192.168.137.5-80-56672-17,192.168.137.5,56672,192.168.137.249,80,17,30/11/2021 03:05:23 AM,71963453,5727,1,183264.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2547.070663771512,79.59595824285975,12565.64571328795,330486.7963857767,1.3841984E7,0.0,7.1963453E7,12567.840202584654,330515.6168711803,1.3841984E7,0.0,0,0,0,0,0,0,0,0,0,45816,8,79.58206230042907,0.013895942430666854,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00558659217877,32.0,32.0,0,0,0,0,0,0,5727,183264,1,32,-1,-1,5727,0,6472708.5,4096762.0980803445,1.0968524E7,1024404.0,1.15078895E7,4212534.200878809,1.3841984E7,5193865.0,No Label
192.168.137.249-192.168.137.5-80-52016-17,192.168.137.5,52016,192.168.137.249,80,17,30/11/2021 03:05:23 AM,55761778,4632,1,148224.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2658.7387511208844,83.08558597252764,12038.38039723656,303284.08148859965,1.3619598E7,0.0,5.5761745E7,12040.972792053552,303316.7804548684,1.3619598E7,0.0,0,0,0,0,0,0,0,0,0,37056,8,83.06765254149536,0.017933431032274474,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00690697172458,32.0,32.0,0,0,0,0,0,0,4632,148224,1,32,-1,-1,4632,0,7034954.333333334,5432155.828606662,1.1593499E7,1024319.0,1.1334723666666666E7,2651862.388155602,1.3619598E7,8426816.0,No Label
192.168.137.249-192.168.137.5-80-60045-17,192.168.137.5,60045,192.168.137.249,80,17,30/11/2021 03:05:23 AM,55571476,3797,1,121504.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2187.021269688788,68.34441467777462,14635.6270740058,317893.4353119145,1.3362251E7,0.0,5.5571476E7,14639.482613277165,317935.22695776215,1.3362251E7,0.0,0,0,0,0,0,0,0,0,0,30376,8,68.32641983452086,0.01799484325375846,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00842548709847,32.0,32.0,0,0,0,0,0,0,3797,121504,1,32,-1,-1,3797,0,4781239.5,5570587.929294403,8720240.0,842239.0,1.27658085E7,843497.0726757147,1.3362251E7,1.2169366E7,No Label
192.168.137.249-192.168.137.5-80-59764-17,192.168.137.5,59764,192.168.137.249,80,17,30/11/2021 03:05:23 AM,58642263,4504,1,144128.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2458.295308283038,76.82172838384494,13020.040630550604,339156.5834288609,1.6143477E7,0.0,5.8642263E7,13022.932045303096,339194.1931427557,1.6143477E7,0.0,0,0,0,0,0,0,0,0,0,36032,8,76.804675835924,0.017052547920942275,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00710321864595,32.0,32.0,0,0,0,0,0,0,4504,144128,1,32,-1,-1,4504,0,4930536.333333333,3654587.2932658666,8061405.0,914744.0,1.2001152E7,5224790.875058158,1.6143477E7,6131398.0,No Label
192.168.137.249-192.168.137.5-80-57375-17,192.168.137.5,57375,192.168.137.249,80,17,30/11/2021 03:05:12 AM,71060445,3609,1,115488.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1625.658268816076,50.80182090050238,19689.788029925174,440826.44632404594,1.5770441E7,0.0,7.1060445E7,19695.24528824832,440887.42723871314,1.5770441E7,0.0,0,0,0,0,0,0,0,0,0,28872,8,50.78774837393715,0.014072526565236117,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.008864265927976,32.0,32.0,0,0,0,0,0,0,3609,115488,1,32,-1,-1,3609,0,4244277.75,3902037.1461451068,8229568.0,776245.0,1.229269125E7,3768579.9770791098,1.5770441E7,7996925.0,No Label
192.168.137.249-192.168.137.5-80-53858-17,192.168.137.5,53858,192.168.137.249,80,17,30/11/2021 03:05:23 AM,88249669,5821,1,186272.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2111.1014025446375,65.97191882951992,15160.56845902762,368146.3142670836,1.449063E7,0.0,8.8249669E7,15163.173367697573,368177.8923836585,1.449063E7,0.0,0,0,0,0,0,0,0,0,0,46568,8,65.96058734225961,0.011331487260309157,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0054963929921,32.0,32.0,0,0,0,0,0,0,5821,186272,1,32,-1,-1,5821,0,5839505.6,6272871.141351567,1.5233868E7,1128.0,1.1684212E7,3825462.1565421345,1.449063E7,5040253.0,No Label
192.168.137.249-192.168.137.5-80-52323-17,192.168.137.5,52323,192.168.137.249,80,17,30/11/2021 03:05:08 AM,72951877,6418,1,205376.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2815.6643591226584,87.98951122258308,11366.761763789349,284899.32467384136,1.3515019E7,0.0,7.2951861E7,11368.530621785922,284921.4908178528,1.3515019E7,0.0,0,0,0,0,0,0,0,0,0,51344,8,87.97580355608945,0.013707666493625655,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.004985200186944,32.0,32.0,0,0,0,0,0,0,6418,205376,1,32,-1,-1,6418,0,4517386.333333333,3838365.458797577,8421426.0,748252.0,1.2433373666666666E7,1736757.5883229452,1.3515019E7,1.0430067E7,No Label
192.168.137.249-192.168.137.5-80-58938-17,192.168.137.5,58938,192.168.137.249,80,17,30/11/2021 03:05:08 AM,103246966,10099,1,323168.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3130.3583293672764,97.82369779272739,10223.484107337326,302555.38731813524,1.5192502E7,0.0,1.03246966E8,10224.496533967098,302570.35227917205,1.5192502E7,0.0,0,0,0,0,0,0,0,0,0,80792,8,97.81401227809445,0.009685514632943306,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00316831683168,32.0,32.0,0,0,0,0,0,0,10099,323168,1,32,-1,-1,10099,0,7316553.6,8677249.357283695,2.1897286E7,739091.0,1.3116701E7,1766048.2091839963,1.5192502E7,1.0427059E7,No Label
192.168.137.249-192.168.137.5-80-56433-17,192.168.137.5,56433,192.168.137.249,80,17,30/11/2021 03:07:47 AM,32709,179,1,5728.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,176098.3215628726,5503.072548839768,182.731843575419,2173.750025849147,29097.0,0.0,32486.0,182.5056179775281,2179.8798008825956,29097.0,0.0,0,0,0,0,0,0,0,0,0,1432,8,5472.499923568436,30.572625271332047,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.17777777777778,32.0,32.0,0,0,0,0,0,0,179,5728,1,32,-1,-1,179,0,0,0,0,0,0,0,0,0,No Label
192.168.137.249-192.168.137.5-80-54200-17,192.168.137.5,54200,192.168.137.249,80,17,30/11/2021 03:06:22 AM,56607148,5538,1,177216.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3131.1946682069197,97.84983338146624,10221.586854460085,416003.2247612015,2.6557296E7,0.0,5.6228514E7,10155.050388296904,416011.3242402306,2.6557296E7,0.0,0,0,0,0,0,0,0,0,0,44304,8,97.83216776792923,0.017665613537004195,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.005777216103986,32.0,32.0,0,0,0,0,0,0,5538,177216,1,32,-1,-1,5538,0,2532209.3333333335,790554.9614696839,3366855.0,1794727.0,1.6308654E7,8891124.379617406,2.6557296E7,1.0658885E7,No Label
192.168.137.249-192.168.137.5-80-57644-17,192.168.137.5,57644,192.168.137.249,80,17,30/11/2021 03:07:32 AM,14922824,1021,1,32672.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2191.5422978921415,68.48569680912942,14615.890303623899,443995.77395744686,1.4182625E7,0.0,1.4922824E7,14630.219607843137,444213.3429084373,1.4182625E7,0.0,0,0,0,0,0,0,0,0,0,8168,8,68.4186853641107,0.06701144501871764,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.031311154598825,32.0,32.0,0,0,0,0,0,0,1021,32672,1,32,-1,-1,1021,0,740199.0,0.0,740199.0,740199.0,1.4182625E7,0.0,1.4182625E7,1.4182625E7,No Label
192.168.137.249-192.168.137.5-80-54361-17,192.168.137.5,54361,192.168.137.249,80,17,30/11/2021 03:05:08 AM,89829013,9172,1,293504.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3267.7193057882087,102.11622830588152,9793.830462276494,293703.8559754669,1.5219294E7,0.0,8.9695292E7,9780.317522625664,293717.01858018053,1.5219294E7,0.0,0,0,0,0,0,0,0,0,0,73376,8,102.10509604508289,0.011132260798635291,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00348849885533,32.0,32.0,0,0,0,0,0,0,9172,293504,1,32,-1,-1,9172,0,5822962.0,3686593.0723407078,9061207.0,13606.0,1.1605992E7,3914801.275722243,1.5219294E7,5250916.0,No Label
192.168.137.249-192.168.137.5-80-54406-17,192.168.137.5,54406,192.168.137.249,80,17,30/11/2021 03:06:36 AM,71601290,2486,1,79552.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1111.488354469591,34.73401107717472,28801.80611423972,704036.7185615484,2.6500515E7,0.0,7.1601289E7,28813.39597585512,704178.181414246,2.6500515E7,0.0,0,0,0,0,0,0,0,0,0,19888,8,34.720044848353986,0.013966228820737725,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.01286690792119,32.0,32.0,0,0,0,0,0,0,2486,79552,1,32,-1,-1,2486,0,1863117.0,1324991.4411349983,2842658.0,355517.0,1.650298475E7,6883401.730017282,2.6500515E7,1.0737926E7,No Label
