Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.179-255.255.255.255-49157-6667-17,192.168.137.179,49157,255.255.255.255,6667,17,03/12/2021 01:30:50 AM,115088127,13,1,2236.0,172.0,172.0,172.0,172.0,0.0,172.0,172.0,172.0,0.0,20.923096610999675,0.12164591052906787,8852932.846153846,5106296.98955634,2.0073295E7,4915265.0,1.10078838E8,9173236.499999998,5195159.426747372,2.0073295E7,4915265.0,0,0,0,0,0,0,0,0,0,104,8,0.11295691691984873,0.008688993609219134,172.0,172.0,172.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,184.28571428571428,172.0,172.0,0,0,0,0,0,0,13,2236,1,172,-1,-1,13,0,4915265.0,0.0,4915265.0,4915265.0,9181071.833333332,5188220.021803814,2.0073295E7,5009289.0,No Label
192.168.137.179-192.168.137.5-80-50214-17,192.168.137.5,50214,192.168.137.179,80,17,03/12/2021 01:30:59 AM,84376914,11441,1,366112.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4339.386007883626,135.6058127463633,7374.959706319371,351613.27631768596,2.9012797E7,0.0,8.4376914E7,7375.604370629366,351628.63827669865,2.9012797E7,0.0,0,0,0,0,0,0,0,0,0,91528,8,135.59396116335802,0.01185158300527559,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002796713861215,32.0,32.0,0,0,0,0,0,0,11441,366112,1,32,-1,-1,11441,0,3517417.5,5103430.827542226,1.1037746E7,160537.0,1.75597335E7,7679031.469626645,2.9012797E7,1.289635E7,No Label
192.168.137.179-192.168.137.5-80-56535-17,192.168.137.5,56535,192.168.137.179,80,17,03/12/2021 01:30:59 AM,72098229,8247,1,263904.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3660.7834014896534,114.39948129655167,8742.358312113503,498943.2116200255,4.299529E7,0.0,7.2098228E7,8743.418384671366,498973.4587351378,4.299529E7,0.0,0,0,0,0,0,0,0,0,0,65976,8,114.3856113303421,0.01386996620957222,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00387972841901,32.0,32.0,0,0,0,0,0,0,8247,263904,1,32,-1,-1,8247,0,6028504.0,7077844.723256367,1.1033296E7,1023712.0,2.8514298E7,2.047921528301629E7,4.299529E7,1.4033306E7,No Label
192.168.137.179-192.168.137.5-80-52368-17,192.168.137.5,52368,192.168.137.179,80,17,03/12/2021 01:30:59 AM,71445779,10492,1,335744.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4699.731806409445,146.86661895029516,6809.548131910026,342972.8865792543,2.9263659E7,0.0,7.1445751E7,6810.194547707544,342989.2274093927,2.9263659E7,0.0,0,0,0,0,0,0,0,0,0,83936,8,146.85262232216687,0.013996628128304123,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00304965214905,32.0,32.0,0,0,0,0,0,0,10492,335744,1,32,-1,-1,10492,0,6288290.0,6878344.444439519,1.1152014E7,1424566.0,1.8843572333333332E7,9028702.63242479,2.9263659E7,1.3344018E7,No Label
192.168.137.179-192.168.137.5-80-55223-17,192.168.137.5,55223,192.168.137.179,80,17,03/12/2021 01:31:05 AM,92207579,5103,1,163296.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1771.3077576844307,55.35336742763846,18069.288457769948,561050.9991879627,2.8369629E7,0.0,9.2207578E7,18072.82987063896,561105.9336684635,2.8369629E7,0.0,0,0,0,0,0,0,0,0,0,40824,8,55.34252233213932,0.010845095499145467,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00626959247649,32.0,32.0,0,0,0,0,0,0,5103,163296,1,32,-1,-1,5103,0,1836041.75,2092635.2798249985,4855034.0,97369.0,1.69702122E7,6447612.051813578,2.8369629E7,1.2859136E7,No Label
192.168.137.179-192.168.137.5-80-60887-17,192.168.137.5,60887,192.168.137.179,80,17,03/12/2021 01:30:59 AM,71425577,8410,1,269120.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3768.285974084605,117.75893669014391,8492.934244946491,385204.58218461607,2.8695633E7,0.0,7.1425576E7,8493.944107503852,385227.47739818285,2.8695633E7,0.0,0,0,0,0,0,0,0,0,0,67280,8,117.74493610321132,0.014000586932605388,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00380454167162,32.0,32.0,0,0,0,0,0,0,8410,269120,1,32,-1,-1,8410,0,3900154.666666667,5785544.498775749,1.0559879E7,113588.0,1.9215696E7,8222945.140579682,2.8695633E7,1.401213E7,No Label
192.168.137.179-192.168.137.5-80-64620-17,192.168.137.5,64620,192.168.137.179,80,17,03/12/2021 01:31:01 AM,69880110,10581,1,338592.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4845.785159754328,151.43078624232274,6604.301105755606,278671.6625171529,1.5255252E7,0.0,6.988011E7,6604.925330812855,278684.8257912409,1.5255252E7,0.0,0,0,0,0,0,0,0,0,0,84648,8,151.41647601871261,0.014310223610123109,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.003024003024,32.0,32.0,0,0,0,0,0,0,10581,338592,1,32,-1,-1,10581,0,2518181.5,3959587.376379556,8364609.0,58566.0,1.42726075E7,746117.5184372767,1.5255252E7,1.3457826E7,No Label
192.168.137.179-192.168.137.5-80-55494-17,192.168.137.5,55494,192.168.137.179,80,17,03/12/2021 01:31:07 AM,63592783,4962,1,158784.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2497.39030921166,78.04344716286438,12815.957879887153,495849.98451481794,2.8542196E7,0.0,6.3592783E7,12818.54122152792,495899.93347795226,2.8542196E7,0.0,0,0,0,0,0,0,0,0,0,39696,8,78.027722108026,0.015725054838376867,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00644771307677,32.0,32.0,0,0,0,0,0,0,4962,158784,1,32,-1,-1,4962,0,1609294.6666666667,1167093.4733380754,2909773.0,652993.0,1.8963101333333332E7,8311559.544095821,2.8542196E7,1.3660981E7,No Label
192.168.137.179-192.168.137.5-80-53211-17,192.168.137.5,53211,192.168.137.179,80,17,03/12/2021 01:31:06 AM,77319599,5783,1,185056.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2393.804447951159,74.80638899847372,13370.153726439572,498598.2965963014,2.9018411E7,0.0,7.7319599E7,13372.466101694905,498641.3875994495,2.9018411E7,0.0,0,0,0,0,0,0,0,0,0,46264,8,74.79345566704245,0.012933331431271391,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.005532503457815,32.0,32.0,0,0,0,0,0,0,5783,185056,1,32,-1,-1,5783,0,1539909.25,1751884.856060918,4092050.0,324735.0,1.77624E7,7631147.965655277,2.9018411E7,1.2284646E7,No Label
192.168.137.179-192.168.137.5-80-64307-17,192.168.137.5,64307,192.168.137.179,80,17,03/12/2021 01:31:06 AM,65172401,4772,1,152704.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2343.5687140021128,73.23652231256602,13657.25083822297,431052.40609470266,1.5536561E7,0.0,6.5172401E7,13660.113393418573,431097.54205504723,1.5536561E7,0.0,0,0,0,0,0,0,0,0,0,38176,8,73.22117839421016,0.01534391835586969,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0067043787974,32.0,32.0,0,0,0,0,0,0,4772,152704,1,32,-1,-1,4772,0,1257466.5,1622690.6496903016,3624800.0,52921.0,1.486871275E7,760587.2076097413,1.5536561E7,1.3821498E7,No Label
