Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.55-59250-80-17,192.168.137.5,59250,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107096654,11322,1,362304.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3383.2616283231405,105.72692588509814,9459.163928634538,345127.8242959242,2.4502135E7,0.0,1.07069134E8,9457.568589347238,345143.0263728529,2.4502135E7,0.0,0,0,0,0,0,0,0,0,0,90576,8,105.71758852522134,0.009337359876808103,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00282610615561,32.0,32.0,0,0,0,0,0,0,11322,362304,1,32,-1,-1,11322,0,7141260.25,9784140.166421827,2.1796347E7,1531439.0,1.56643944E7,5101437.9330421435,2.4502135E7,1.1794482E7,No Label
192.168.137.5-192.168.137.55-64319-80-17,192.168.137.5,64319,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107736919,10398,1,332736.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3088.709080310715,96.52215875970984,10361.311694556638,379485.4222780107,2.4206221E7,0.0,1.07736918E8,10362.30816581705,379503.65974612464,2.4206221E7,0.0,0,0,0,0,0,0,0,0,0,83184,8,96.5128768904186,0.009281869291250106,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00307721896336,32.0,32.0,0,0,0,0,0,0,10398,332736,1,32,-1,-1,10398,0,6012556.0,1.0633058230007239E7,2.1944093E7,1.0,1.67166904E7,4709893.989412904,2.4206221E7,1.2737945E7,No Label
192.168.137.5-192.168.137.55-55808-80-17,192.168.137.5,55808,192.168.137.55,80,17,30/11/2021 02:21:13 AM,106960127,9942,1,318144.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2974.715989258315,92.95987466432234,10758.411486622423,476837.655941652,4.1325023E7,0.0,1.06960127E8,10759.493712906147,476861.62892556295,4.1325023E7,0.0,0,0,0,0,0,0,0,0,0,79536,8,92.9505253859693,0.00934927835304459,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00321834456401,32.0,32.0,0,0,0,0,0,0,9942,318144,1,32,-1,-1,9942,0,6355782.25,1.0323213335186267E7,2.1839559E7,1073460.0,2.03842495E7,1.4027982504095033E7,4.1325023E7,1.2132957E7,No Label
192.168.137.5-192.168.137.55-54623-80-17,192.168.137.5,54623,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107100035,9809,1,313888.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2931.091479101757,91.59660872192991,10918.547762259144,383734.6522646564,2.5931181E7,0.0,1.06438208E8,10852.182707993472,383697.91761562746,2.5931181E7,0.0,0,0,0,0,0,0,0,0,0,78472,8,91.58727165682065,0.009337065109269104,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00326197757391,32.0,32.0,0,0,0,0,0,0,9809,313888,1,32,-1,-1,9809,0,5228962.4,9014273.589316657,2.1344753E7,697408.0,1.61910446E7,5464333.69904724,2.5931181E7,1.3289827E7,No Label
192.168.137.5-192.168.137.55-55385-80-17,192.168.137.5,55385,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107438398,15050,1,481600.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4482.866544603541,140.08957951886066,7138.763986710976,315100.034302706,2.7560924E7,0.0,1.07438398E8,7139.238354707948,315110.49858571956,2.7560924E7,0.0,0,0,0,0,0,0,0,0,0,120400,8,140.08027185960088,0.009307659259774144,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00212610457777,32.0,32.0,0,0,0,0,0,0,15050,481600,1,32,-1,-1,15050,0,5254678.8,9331777.289485358,2.1904549E7,88904.0,1.6231851E7,6464422.16648646,2.7560924E7,1.2152189E7,No Label
192.168.137.5-192.168.137.55-63446-80-17,192.168.137.5,63446,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107715072,7930,1,253760.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2356.1419519823557,73.62943599944862,13583.237326607825,435447.9808795588,2.5624292E7,0.0,1.07715072E8,13584.950435111625,435475.4159522217,2.5624292E7,0.0,0,0,0,0,0,0,0,0,0,63440,8,73.62015224758889,0.009283751859721173,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0040348001513,32.0,32.0,0,0,0,0,0,0,7930,253760,1,32,-1,-1,7930,0,6147809.75,1.04654357840285E7,2.181973E7,119200.0,1.66094576E7,5346083.592771329,2.5624292E7,1.2484604E7,No Label
192.168.137.5-192.168.137.55-62287-80-17,192.168.137.5,62287,192.168.137.55,80,17,30/11/2021 02:21:13 AM,81467333,11100,1,355200.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4360.422600307783,136.26320625961822,7339.399369369361,248702.4604400843,1.433779E7,0.0,8.1467333E7,7340.060636093329,248713.65526154943,1.433779E7,0.0,0,0,0,0,0,0,0,0,0,88800,8,136.25093140093344,0.012274858684768778,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0028826231871,32.0,32.0,0,0,0,0,0,0,11100,355200,1,32,-1,-1,11100,0,6899585.0,1.0231478687116768E7,2.2212463E7,1041314.0,1.2941785E7,1108630.355943164,1.433779E7,1.2018516E7,No Label
192.168.137.5-192.168.137.55-58012-80-17,192.168.137.5,58012,192.168.137.55,80,17,30/11/2021 02:20:59 AM,79475459,11401,1,364832.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4590.901450471648,143.465670327239,6970.920007016921,255080.42754831465,1.4416378E7,0.0,7.9475459E7,6971.531491228077,255091.60766593594,1.4416378E7,0.0,0,0,0,0,0,0,0,0,0,91208,8,143.4530878267718,0.012582500467219699,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002806525171025,32.0,32.0,0,0,0,0,0,0,11401,364832,1,32,-1,-1,11401,0,6113829.5,1.0616808256816594E7,2.2027207E7,299461.0,1.348667525E7,991377.2534756466,1.4416378E7,1.2286496E7,No Label
192.168.137.5-192.168.137.55-55369-80-17,192.168.137.5,55369,192.168.137.55,80,17,30/11/2021 02:21:13 AM,107701555,17777,1,568864.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,5282.152147199732,165.06725459999163,6058.477527141825,277120.8346264153,2.6102475E7,0.0,1.07676523E8,6057.410159765976,277128.59321566543,2.6102475E7,0.0,0,0,0,0,0,0,0,0,0,142216,8,165.05796968298182,0.009284917009786906,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00179997750028,32.0,32.0,0,0,0,0,0,0,17777,568864,1,32,-1,-1,17777,0,5959987.8,8965326.564842561,2.196178E7,1370401.0,1.55617192E7,5974955.158296605,2.6102475E7,1.1661251E7,No Label
192.168.137.5-192.168.137.55-57581-80-17,192.168.137.5,57581,192.168.137.55,80,17,30/11/2021 02:21:15 AM,78848943,12122,1,387904.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4919.989859597737,153.7496831124293,6504.614997525181,246974.7158586258,1.5196764E7,0.0,7.8837053E7,6504.170695487189,246984.89952967924,1.5196764E7,0.0,0,0,0,0,0,0,0,0,0,96976,8,153.73700063423803,0.012682478191242208,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002639610657425,32.0,32.0,0,0,0,0,0,0,12122,387904,1,32,-1,-1,12122,0,6052553.5,9108675.54879356,1.9648577E7,736492.0,1.3462582E7,1363013.1151393957,1.5196764E7,1.1863677E7,No Label
