Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.189-192.168.137.5-80-53454-17,192.168.137.5,53454,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119998939,23355,1,747360.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,6228.321735411344,194.6350542316045,5138.040633697268,293671.84147377923,2.6274362E7,0.0,1.19998939E8,5138.260640575479,293678.12715016684,2.6274362E7,0.0,0,0,0,0,0,0,0,0,0,186840,8,194.62672082458997,0.008333407014540354,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00137009761946,32.0,32.0,0,0,0,0,0,0,23355,747360,1,32,-1,-1,23355,0,2846487.333333333,2353644.6613522326,7043729.0,827300.0,1.7136359166666668E7,7066273.188547791,2.6274362E7,1.1039815E7,No Label
192.168.137.189-192.168.137.5-80-62371-17,192.168.137.5,62371,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119947550,14910,1,477120.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3978.0053865210252,124.31266832878204,8044.771965124121,375030.3075444385,2.6755171E7,0.0,1.1994755E8,8045.311556777799,375042.8797018223,2.6755171E7,0.0,0,0,0,0,0,0,0,0,0,119280,8,124.30433135149488,0.008336977287155928,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0021460666622,32.0,32.0,0,0,0,0,0,0,14910,477120,1,32,-1,-1,14910,0,2514295.666666667,2462894.0642823162,7175318.0,617402.0,1.7469909666666668E7,7244988.33527314,2.6755171E7,1.1145972E7,No Label
192.168.137.189-192.168.137.5-80-55790-17,192.168.137.5,55790,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119987464,12779,1,408928.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3408.356059596359,106.51112686238622,9389.425150637737,407941.4319720547,2.7176086E7,0.0,1.19987427E8,9390.15706683364,407957.387166121,2.7176086E7,0.0,0,0,0,0,0,0,0,0,0,102232,8,106.50279265840638,0.008334203979842428,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00250391236307,32.0,32.0,0,0,0,0,0,0,12779,408928,1,32,-1,-1,12779,0,2373850.3333333335,2479042.1616043295,7114192.0,552265.0,1.7611734E7,7244123.565036367,2.7176086E7,1.1111914E7,No Label
192.168.137.189-192.168.137.5-80-50426-17,192.168.137.5,50426,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119965968,25688,1,822016.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,6852.343324566847,214.13572889271396,4670.117097477417,256908.94976391303,2.6114624E7,0.0,1.19965968E8,4670.298906061433,256913.94901552497,2.6114624E7,0.0,0,0,0,0,0,0,0,0,0,205504,8,214.12739319537687,0.008335697337098134,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00124566935264,32.0,32.0,0,0,0,0,0,0,25688,822016,1,32,-1,-1,25688,0,2298563.285714286,2339252.1410502624,6897699.0,5533.0,1.4829314E7,5073430.456248842,2.6114624E7,1.1192634E7,No Label
192.168.137.189-192.168.137.5-80-52465-17,192.168.137.5,52465,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119923114,15871,1,507872.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4235.246926626672,132.3514664570835,7556.115808707703,293578.2829551912,1.4853576E7,0.0,1.19923114E8,7556.591934467544,293587.52673780813,1.4853576E7,0.0,0,0,0,0,0,0,0,0,0,126968,8,132.34312778102142,0.008338676062064232,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002016129032256,32.0,32.0,0,0,0,0,0,0,15871,507872,1,32,-1,-1,15871,0,1992144.0,2369478.645926688,7131718.0,29533.0,1.2992662375E7,1409620.366296638,1.4853576E7,1.1247536E7,No Label
192.168.137.189-192.168.137.5-80-57457-17,192.168.137.5,57457,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119981455,12798,1,409536.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3413.594209205081,106.67481903765878,9375.016018127842,403499.3128797899,2.6728882E7,0.0,1.19981455E8,9375.748612956177,403515.0706790865,2.6728882E7,0.0,0,0,0,0,0,0,0,0,0,102384,8,106.66648441627918,0.008334621379612375,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00250019532776,32.0,32.0,0,0,0,0,0,0,12798,409536,1,32,-1,-1,12798,0,2583782.333333333,2425037.6848968486,6995876.0,264415.0,1.7413126833333332E7,7227997.793461628,2.6728882E7,1.1394461E7,No Label
192.168.137.189-192.168.137.5-80-62906-17,192.168.137.5,62906,192.168.137.189,80,17,03/12/2021 04:20:17 AM,93745379,20436,1,653952.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,6976.173193560826,218.0054122987758,4587.266539440239,257510.57968506863,2.6641796E7,0.0,9.3745379E7,4587.491020308321,257516.878640489,2.6641796E7,0.0,0,0,0,0,0,0,0,0,0,163488,8,217.99474510631612,0.010667192459694467,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.001565787542205,32.0,32.0,0,0,0,0,0,0,20436,653952,1,32,-1,-1,20436,0,2634599.0,2651388.530230811,7157487.0,757013.0,1.54401608E7,6322772.288645519,2.6641796E7,1.1126852E7,No Label
192.168.137.189-192.168.137.5-80-62344-17,192.168.137.5,62344,192.168.137.189,80,17,03/12/2021 04:20:17 AM,93614669,13490,1,431680.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4611.584964317932,144.11203013493537,6939.560340993348,315397.7485204504,2.6433347E7,0.0,9.3614669E7,6940.074801690282,315409.4344341909,2.6433347E7,0.0,0,0,0,0,0,0,0,0,0,107920,8,144.1013480483491,0.010682086586237888,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002371951671485,32.0,32.0,0,0,0,0,0,0,13490,431680,1,32,-1,-1,13490,0,2635903.8,2635309.2948310073,7133146.0,762319.0,1.53705324E7,6255705.834886484,2.6433347E7,1.1026071E7,No Label
192.168.137.189-192.168.137.5-80-55612-17,192.168.137.5,55612,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119937647,9616,1,307712.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2565.8665789899983,80.18333059343745,12472.717034109808,426692.4723809561,2.7063882E7,0.0,1.19937647E8,12474.014248569916,426714.64404552703,2.7063882E7,0.0,0,0,0,0,0,0,0,0,0,76928,8,80.17499292778355,0.008337665653887641,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.003327440989914,32.0,32.0,0,0,0,0,0,0,9616,307712,1,32,-1,-1,9616,0,2201059.7142857146,2468114.478697028,7053966.0,2876.0,1.4932889714285713E7,5486096.251029801,2.7063882E7,1.1276961E7,No Label
192.168.137.189-192.168.137.5-80-62150-17,192.168.137.5,62150,192.168.137.189,80,17,03/12/2021 04:20:17 AM,119999998,18615,1,595680.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4964.266749404445,155.13333591888892,6446.4140746709745,333054.28868966387,2.7175874E7,0.0,1.19999998E8,6446.760395401316,333063.2320367553,2.7175874E7,0.0,0,0,0,0,0,0,0,0,0,148920,8,155.1250025854167,0.008333333472222225,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00171895143962,32.0,32.0,0,0,0,0,0,0,18615,595680,1,32,-1,-1,18615,0,2656803.333333333,2269204.1831210926,6891530.0,641060.0,1.7294768333333336E7,7314599.597413974,2.7175874E7,1.108496E7,No Label
