Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/12/2021 10:10:07 PM,109975349,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10911536184349822,9997759.0,51698.45593438946,1.0036181E7,9930947.0,9.9940757E7,9994075.7,52951.724955745274,1.0036181E7,9930947.0,0,0,0,0,0,0,0,0,0,0,0,0.1000224150232067,0.009092946820291518,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,0,0,0,0,9997759.0,51698.45593438946,1.0036181E7,9930947.0,No Label
192.168.137.5-192.168.137.64-63479-80-17,192.168.137.5,63479,192.168.137.64,80,17,02/12/2021 10:10:15 PM,95361948,4217,1,134944.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1415.4073278788308,44.23147899621346,22613.694095328494,603170.9699640903,2.9624648E7,0.0,9.536129E7,22618.90180265651,603242.4214358575,2.9624648E7,0.0,0,0,0,0,0,0,0,0,0,33736,8,44.22099263324613,0.01048636296733368,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00758653390233,32.0,32.0,0,0,0,0,0,0,4217,134944,1,32,-1,-1,4217,0,3832872.25,2983584.7635585815,7201276.0,143293.0,1.829954275E7,7568302.788773951,2.9624648E7,1.3797828E7,No Label
192.168.137.5-192.168.137.64-62567-80-17,192.168.137.5,62567,192.168.137.64,80,17,02/12/2021 10:10:15 PM,107978186,3861,1,123552.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1144.5274696502127,35.766483426569145,27966.378140378118,559156.4865740044,1.5397061E7,0.0,1.07978185E8,27973.623056994824,559228.7490045622,1.5397061E7,0.0,0,0,0,0,0,0,0,0,0,30888,8,35.75722229673316,0.009261129835983725,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00828586224754,32.0,32.0,0,0,0,0,0,0,3861,123552,1,32,-1,-1,3861,0,4029773.333333333,3271336.0580694648,9455385.0,3103.0,1.3966591E7,1615488.447561294,1.5397061E7,1.1438381E7,No Label
192.168.137.5-192.168.137.64-56690-80-17,192.168.137.5,56690,192.168.137.64,80,17,02/12/2021 10:10:15 PM,90286924,3855,1,123360.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1366.665232719635,42.708288522488594,23420.732555123217,531129.9133563358,1.607918E7,0.0,9.0286924E7,23426.809548521003,531198.6990505737,1.607918E7,0.0,0,0,0,0,0,0,0,0,0,30840,8,42.69721272152322,0.011075800965375674,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00829875518672,32.0,32.0,0,0,0,0,0,0,3855,123360,1,32,-1,-1,3855,0,3899650.5,3489020.5434791674,8491070.0,10804.0,1.45810008E7,1657756.4688689047,1.607918E7,1.1745243E7,No Label
192.168.137.5-192.168.137.64-57479-80-17,192.168.137.5,57479,192.168.137.64,80,17,02/12/2021 10:10:15 PM,108086140,7046,1,225472.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2086.335953897512,65.19799855929725,15340.07096224813,421301.9193625263,1.5249859E7,0.0,1.0808614E8,15342.248403122805,421331.78367110284,1.5249859E7,0.0,0,0,0,0,0,0,0,0,0,56368,8,65.18874667926896,0.009251880028281147,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00454093940684,32.0,32.0,0,0,0,0,0,0,7046,225472,1,32,-1,-1,7046,0,3723720.8333333335,3430329.6974247484,8458246.0,22829.0,1.4290635833333332E7,757549.9305438333,1.5249859E7,1.3437129E7,No Label
192.168.137.5-192.168.137.64-64418-80-17,192.168.137.5,64418,192.168.137.64,80,17,02/12/2021 10:10:15 PM,95129765,4872,1,155904.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1639.192528227101,51.22476650709691,19525.81383415435,476987.56921535626,1.5248373E7,0.0,9.5129765E7,19529.82241839462,477036.4566589917,1.5248373E7,0.0,0,0,0,0,0,0,0,0,0,38976,8,51.214254550087446,0.010511957009459658,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.006566796634516,32.0,32.0,0,0,0,0,0,0,4872,155904,1,32,-1,-1,4872,0,2988866.4,2963948.5970739773,7418110.0,174241.0,1.46654398E7,515573.5337031953,1.5248373E7,1.3876986E7,No Label
192.168.137.5-192.168.137.64-49854-80-17,192.168.137.5,49854,192.168.137.64,80,17,02/12/2021 10:10:15 PM,95338687,6722,1,215104.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2256.544607122605,70.51701897258141,14183.083457304328,393551.9615229749,1.5573945E7,0.0,9.5338687E7,14185.193721172425,393581.2045396592,1.5573945E7,0.0,0,0,0,0,0,0,0,0,0,53776,8,70.50653005112186,0.01048892145955398,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00475977986018,32.0,32.0,0,0,0,0,0,0,6722,215104,1,32,-1,-1,6722,0,3438959.2,3871782.3077081954,9293073.0,3951.0,1.42070452E7,1487693.267857558,1.5573945E7,1.1812798E7,No Label
192.168.137.5-192.168.137.64-63311-80-17,192.168.137.5,63311,192.168.137.64,80,17,02/12/2021 10:10:15 PM,91889342,3110,1,99520.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1083.390062799666,33.855939462489566,29546.41221864948,600275.9686809032,1.6539154E7,0.0,9.1889342E7,29555.91572853006,600372.296406516,1.6539154E7,0.0,0,0,0,0,0,0,0,0,0,24880,8,33.845056807567516,0.010882654922047433,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.01028608164577,32.0,32.0,0,0,0,0,0,0,3110,99520,1,32,-1,-1,3110,0,3221145.0,2804701.08275472,7697045.0,2985.0,1.48403428E7,1247320.7931966418,1.6539154E7,1.3037173E7,No Label
192.168.137.5-192.168.137.64-55450-80-17,192.168.137.5,55450,192.168.137.64,80,17,02/12/2021 10:10:15 PM,95349614,3420,1,109440.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1148.1116221403895,35.87848819188717,27880.004093567244,559979.6557351128,1.5743207E7,0.0,9.5234677E7,27854.541386370343,560059.5858730231,1.5743207E7,0.0,0,0,0,0,0,0,0,0,0,27360,8,35.86800047245078,0.010487719436389119,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.009353990061385,32.0,32.0,0,0,0,0,0,0,3420,109440,1,32,-1,-1,3420,0,3522939.2,3339721.6247498384,8953848.0,178163.0,1.43793566E7,1581932.2354653184,1.5743207E7,1.2006956E7,No Label
192.168.137.5-192.168.137.64-63060-80-17,192.168.137.5,63060,192.168.137.64,80,17,02/12/2021 10:10:15 PM,95076513,3989,1,127648.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1342.9184135097591,41.96620042217997,23834.673602406623,526075.4371426976,1.6372818E7,0.0,9.5076513E7,23840.650200601787,526141.2714105139,1.6372818E7,0.0,0,0,0,0,0,0,0,0,0,31912,8,41.95568257746264,0.01051784471733834,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00802005012531,32.0,32.0,0,0,0,0,0,0,3989,127648,1,32,-1,-1,3989,0,3105478.8,3367960.449003328,8371782.0,164144.0,1.45977998E7,1624823.3662889947,1.6372818E7,1.1930859E7,No Label
