Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.51-59630-80-17,192.168.137.5,59630,192.168.137.51,80,17,02/12/2021 09:28:25 PM,103793176,10991,1,351712.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3388.893312215439,105.90291600673247,9443.469747975623,324973.22999097884,1.5324934E7,0.0,1.03793158E8,9444.32738853505,324988.0035122268,1.5324934E7,0.0,0,0,0,0,0,0,0,0,0,87928,8,105.89328146197202,0.009634544760437815,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00291120815138,32.0,32.0,0,0,0,0,0,0,10991,351712,1,32,-1,-1,10991,0,3501301.333333333,4466906.2447702065,1.1839722E7,112101.0,1.3783829833333334E7,1369026.839606648,1.5324934E7,1.1676708E7,No Label
192.168.137.5-192.168.137.51-62556-80-17,192.168.137.5,62556,192.168.137.51,80,17,02/12/2021 09:28:25 PM,91286775,11120,1,355840.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3898.396016290421,121.82487550907565,8209.242356115104,299051.76130648627,1.5350269E7,0.0,9.1286775E7,8209.980663728738,299065.19985999505,1.5350269E7,0.0,0,0,0,0,0,0,0,0,0,88960,8,121.81392101977531,0.010954489300339506,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00287743907922,32.0,32.0,0,0,0,0,0,0,11120,355840,1,32,-1,-1,11120,0,4170558.4,4648212.084540711,1.1496461E7,111380.0,1.39343156E7,1360062.3092302794,1.5350269E7,1.2019981E7,No Label
192.168.137.5-192.168.137.51-58893-80-17,192.168.137.5,58893,192.168.137.51,80,17,02/12/2021 09:28:25 PM,91318361,13048,1,417536.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4572.662008246075,142.89568775768984,6998.648145309627,280971.1203234368,1.8070315E7,0.0,9.1318361E7,6999.184563501192,280981.8819132656,1.8070315E7,0.0,0,0,0,0,0,0,0,0,0,104384,8,142.88473705742484,0.01095070026497738,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002452295195035,32.0,32.0,0,0,0,0,0,0,13048,417536,1,32,-1,-1,13048,0,3878581.0,4838947.993959431,1.1950592E7,117182.0,1.40480636E7,2845081.7934538014,1.8070315E7,1.1077088E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/12/2021 09:28:28 PM,110176978,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072610450433665,1.5739568285714285E7,7866966.533582088,2.9976139E7,9936565.0,9.0005371E7,1.5000895166666666E7,8347672.485396812,2.9976139E7,9936565.0,0,0,0,0,0,0,0,0,0,0,0,0.06353414412945688,0.009076306304208125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,1.5739568285714285E7,7866966.533582088,2.9976139E7,9936565.0,No Label
192.168.137.5-192.168.137.51-61311-80-17,192.168.137.5,61311,192.168.137.51,80,17,02/12/2021 09:28:43 PM,105722437,7848,1,251136.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2375.7303286529423,74.24157277040445,13471.258537206948,438705.71996265894,2.6336947E7,0.0,1.05722437E8,13472.97527717598,438733.6499942862,2.6336947E7,0.0,0,0,0,0,0,0,0,0,0,62784,8,74.232114040277,0.009458730127456294,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00407695247802,32.0,32.0,0,0,0,0,0,0,7848,251136,1,32,-1,-1,7848,0,3627809.2,1436024.6032562256,5506220.0,2066821.0,1.65082096E7,5536972.202883115,2.6336947E7,1.3008572E7,No Label
192.168.137.5-192.168.137.51-64459-80-17,192.168.137.5,64459,192.168.137.51,80,17,02/12/2021 09:28:37 PM,111757957,9209,1,294688.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2637.1276633125995,82.41023947851873,12135.732109892495,431576.05412881484,2.837116E7,0.0,1.11757957E8,12137.050065160738,431599.4723468008,2.837116E7,0.0,0,0,0,0,0,0,0,0,0,73672,8,82.40129156978057,0.008947908738167072,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.003474484256245,32.0,32.0,0,0,0,0,0,0,9209,294688,1,32,-1,-1,9209,0,4267805.4,4624449.65015247,1.1817919E7,118927.0,1.75139182E7,6388147.410621424,2.837116E7,1.319505E7,No Label
192.168.137.5-192.168.137.51-60631-80-17,192.168.137.5,60631,192.168.137.51,80,17,02/12/2021 09:28:40 PM,109600987,10702,1,342464.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3124.9353621240653,97.65423006637704,10241.168660063553,391241.945704274,2.7565077E7,0.0,1.09600987E8,10242.125689187942,391260.2150836709,2.7565077E7,0.0,0,0,0,0,0,0,0,0,0,85616,8,97.6451060609518,0.009124005425243114,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00298981593946,32.0,32.0,0,0,0,0,0,0,10702,342464,1,32,-1,-1,10702,0,3669453.0,3763654.192919894,9422395.0,379882.0,1.72514128E7,5904214.161393766,2.7565077E7,1.2881865E7,No Label
192.168.137.5-192.168.137.51-57989-80-17,192.168.137.5,57989,192.168.137.51,80,17,02/12/2021 09:28:46 PM,101750227,8531,1,272992.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2683.276569004608,83.852392781394,11927.116047356698,441430.15411253896,3.0126433E7,0.0,1.01750226E8,11928.514185228616,441456.0126533455,3.0126433E7,0.0,0,0,0,0,0,0,0,0,0,68248,8,83.84256479349182,0.009827987902179324,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.003750586029064,32.0,32.0,0,0,0,0,0,0,8531,272992,1,32,-1,-1,8531,0,3107761.8,1963809.2704311179,5454286.0,59926.0,1.69050274E7,7480681.377681668,3.0126433E7,1.2346914E7,No Label
192.168.137.5-192.168.137.51-60634-80-17,192.168.137.5,60634,192.168.137.51,80,17,02/12/2021 09:28:45 PM,104427455,7630,1,244160.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2338.388884417417,73.07465263804428,13686.429226736584,451122.55285563256,2.7779612E7,0.0,1.04427454E8,13688.223096080734,451152.0948440316,2.7779612E7,0.0,0,0,0,0,0,0,0,0,0,61040,8,73.06507661227596,0.00957602576831926,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00419342156991,32.0,32.0,0,0,0,0,0,0,7630,244160,1,32,-1,-1,7630,0,3411618.6,1868549.4867836123,5257531.0,813084.0,1.64702348E7,6345051.765070298,2.7779612E7,1.3010228E7,No Label
192.168.137.5-192.168.137.51-61644-80-17,192.168.137.5,61644,192.168.137.51,80,17,02/12/2021 09:28:43 PM,106264750,8320,1,266240.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2505.741555878125,78.3044236211914,12772.20552884615,467683.8234029887,3.0102989E7,0.0,1.06264749E8,12773.74071402812,467711.9143502797,3.0102989E7,0.0,0,0,0,0,0,0,0,0,0,66560,8,78.29501316287856,0.00941045831284598,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0038456916236,32.0,32.0,0,0,0,0,0,0,8320,266240,1,32,-1,-1,8320,0,2765367.8,2613333.760200694,6493551.0,4811.0,1.79178036E7,7135486.868163468,3.0102989E7,1.1969516E7,No Label
