Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.142-192.168.137.5-80-60491-17,192.168.137.5,60491,192.168.137.142,80,17,30/11/2021 01:13:57 AM,119540202,10227,1,327264.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2737.9575617581777,85.56117380494305,11688.687004986805,528531.2973888745,4.4823747E7,0.0,1.19540152E8,11689.825151574401,528557.129274921,4.4823747E7,0.0,0,0,0,0,0,0,0,0,0,81816,8,85.55280841837627,0.008365386566771906,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00312866640594,32.0,32.0,0,0,0,0,0,0,10227,327264,1,32,-1,-1,10227,0,4471216.5,3965460.5744800526,8857505.0,140409.0,2.0292847E7,1.4043400575515194E7,4.4823747E7,1.0061337E7,No Label
192.168.137.142-192.168.137.5-80-63221-17,192.168.137.5,63221,192.168.137.142,80,17,30/11/2021 01:13:57 AM,119745971,12097,1,387104.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3232.9772498149437,101.03053905671699,9898.815491444158,383655.0014769972,2.9356217E7,0.0,1.19745962E8,9899.63310185186,383670.8506759508,2.9356217E7,0.0,0,0,0,0,0,0,0,0,0,96776,8,101.02218804505749,0.008351011659507107,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00264506530005,32.0,32.0,0,0,0,0,0,0,12097,387104,1,32,-1,-1,12097,0,4723850.0,4099414.011675937,9094459.0,140243.0,1.59505505E7,6895281.5571465315,2.9356217E7,1.0065718E7,No Label
192.168.137.142-255.255.255.255-50330-37010-17,192.168.137.142,50330,255.255.255.255,37010,17,30/11/2021 01:14:21 AM,103115469,6,1,1056.0,176.0,176.0,176.0,176.0,0.0,176.0,176.0,176.0,0.0,11.947770901376591,0.06788506193963972,1.71859115E7,9697138.448052697,3.2975026E7,6039399.0,8.2010546E7,1.64021092E7,1.0627112602195278E7,3.2975026E7,6039399.0,0,0,0,0,0,0,0,0,0,48,8,0.05818719594826262,0.009697865991377104,176.0,176.0,176.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.14285714285714,176.0,176.0,0,0,0,0,0,0,6,1056,1,176,-1,-1,6,0,0,0,0,0,1.71859115E7,9697138.448052697,3.2975026E7,6039399.0,No Label
192.168.137.142-192.168.137.5-80-50763-17,192.168.137.5,50763,192.168.137.142,80,17,30/11/2021 01:14:26 AM,94571212,9929,1,317728.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3360.0076945191313,105.00024045372285,9524.74690301139,479780.0706548094,4.2356005E7,0.0,9.4571212E7,9525.706285253842,479804.22593287524,4.2356005E7,0.0,0,0,0,0,0,0,0,0,0,79432,8,104.98966641138108,0.010574042341764638,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00322255790534,32.0,32.0,0,0,0,0,0,0,9929,317728,1,32,-1,-1,9929,0,5822059.0,4524867.462609596,8910988.0,628168.0,2.4280870333333332E7,1.5687808874361688E7,4.2356005E7,1.4206733E7,No Label
192.168.137.142-192.168.137.5-80-53365-17,192.168.137.5,53365,192.168.137.142,80,17,30/11/2021 01:14:12 AM,103947280,8946,1,286272.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2754.3193049399656,86.07247827937393,11619.414263357916,531635.1502831129,4.3927173E7,0.0,1.0394728E8,11620.713247624373,531664.855466642,4.3927173E7,0.0,0,0,0,0,0,0,0,0,0,71568,8,86.06285801802606,0.00962026134786788,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00357661786074,32.0,32.0,0,0,0,0,0,0,8946,286272,1,32,-1,-1,8946,0,6189179.0,3390399.521619244,8152635.0,2274289.0,2.134297225E7,1.5207095264300002E7,4.3927173E7,1.2192938E7,No Label
192.168.137.142-192.168.137.5-80-55378-17,192.168.137.5,55378,192.168.137.142,80,17,30/11/2021 01:14:11 AM,105829376,8985,1,287520.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2717.128370859902,84.91026158937194,11778.45030606569,438443.43733101664,3.1019984E7,0.0,1.05829376E8,11779.761353517377,438467.82310410065,3.1019984E7,0.0,0,0,0,0,0,0,0,0,0,71880,8,84.90081241714967,0.009449172222275978,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00356109503672,32.0,32.0,0,0,0,0,0,0,8985,287520,1,32,-1,-1,8985,0,5099801.0,3962985.0859747124,8808911.0,325474.0,1.70860344E7,7991916.179680834,3.1019984E7,1.2060942E7,No Label
192.168.137.142-192.168.137.5-80-54650-17,192.168.137.5,54650,192.168.137.142,80,17,30/11/2021 01:14:08 AM,113119796,13257,1,424224.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3750.5018131397624,117.20318166061757,8532.835181413602,442374.23848443775,4.4996939E7,0.0,1.13119796E8,8533.478877489448,442390.9190314593,4.4996939E7,0.0,0,0,0,0,0,0,0,0,0,106056,8,117.19434147494397,0.00884018567360217,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00241363704933,32.0,32.0,0,0,0,0,0,0,13257,424224,1,32,-1,-1,13257,0,8018932.0,1312415.0939535098,9128749.0,6570344.0,2.1301283E7,1.5924216057557056E7,4.4996939E7,1.1626478E7,No Label
192.168.137.142-192.168.137.5-80-60960-17,192.168.137.5,60960,192.168.137.142,80,17,30/11/2021 01:14:26 AM,94166653,7753,1,248096.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2634.9879930425054,82.3433747825783,12145.83425770666,377311.07837564574,1.6511225E7,0.0,9.4166653E7,12147.401057791532,377335.3918773642,1.6511225E7,0.0,0,0,0,0,0,0,0,0,0,62024,8,82.3327553120105,0.010619470567781569,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.004126902244,32.0,32.0,0,0,0,0,0,0,7753,248096,1,32,-1,-1,7753,0,4225108.0,4266679.218966139,9117535.0,50812.0,1.46082226E7,1786081.2712122872,1.6511225E7,1.2092483E7,No Label
192.168.137.142-192.168.137.5-80-55624-17,192.168.137.5,55624,192.168.137.142,80,17,30/11/2021 01:14:10 AM,112362999,11385,1,364320.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3242.6332800177397,101.33229000055437,9869.389459815546,402396.16364750586,3.0001931E7,0.0,1.12362984E8,9870.255094869975,402413.8279710125,3.0001931E7,0.0,0,0,0,0,0,0,0,0,0,91080,8,101.32339027369677,0.00889972685759304,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00281046899701,32.0,32.0,0,0,0,0,0,0,11385,364320,1,32,-1,-1,11385,0,5576203.5,3532963.8314377065,8899361.0,1274727.0,1.79372356E7,7356792.502743726,3.0001931E7,1.2136235E7,No Label
192.168.137.142-192.168.137.5-80-53668-17,192.168.137.5,53668,192.168.137.142,80,17,30/11/2021 01:14:08 AM,93781506,15860,1,507520.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,5412.0691983769175,169.12716244927867,5913.083606557387,306601.32711753674,3.0011256E7,0.0,9.3781506E7,5913.456460054236,306610.9904562605,3.0011256E7,0.0,0,0,0,0,0,0,0,0,0,126880,8,169.11649936609038,0.010663083188278083,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.002017527268144,32.0,32.0,0,0,0,0,0,0,15860,507520,1,32,-1,-1,15860,0,7479181.666666667,1362736.5957019476,8658013.0,5987093.0,1.7760873E7,8444993.713503048,3.0011256E7,1.2122656E7,No Label
192.168.137.142-192.168.137.5-80-57749-17,192.168.137.5,57749,192.168.137.142,80,17,30/11/2021 01:14:14 AM,86962962,7737,1,247584.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2847.3731150049834,88.98040984390573,11239.881349360252,422130.43896784954,2.8320837E7,0.0,8.6962962E7,11241.334281282341,422157.7057744178,2.8320837E7,0.0,0,0,0,0,0,0,0,0,0,61896,8,88.96891069556715,0.0114991483385766,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00413543551305,32.0,32.0,0,0,0,0,0,0,7737,247584,1,32,-1,-1,7737,0,4481005.75,4745062.926409117,9005810.0,297869.0,1.7212095E7,7652992.539999544,2.8320837E7,1.1833584E7,No Label
