Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.111-54090-80-17,192.168.137.5,54090,192.168.137.111,80,17,30/11/2021 10:57:34 PM,108968164,11833,1,378656.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,3475.21685324532,108.60052666391626,9208.836643285753,387094.1014200161,3.1396955E7,0.0,1.08965897E8,9209.423343475331,387110.45512754336,3.1396955E7,0.0,0,0,0,0,0,0,0,0,0,94664,8,108.59134967163436,0.009176992281892535,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00270407300997,32.0,32.0,0,0,0,0,0,0,11833,378656,1,32,-1,-1,11833,0,4383813.2,3237153.773241194,8492564.0,7505.0,1.72483366E7,8212752.413419894,3.1396955E7,1.0321458E7,No Label
192.168.137.5-192.168.137.111-64139-80-17,192.168.137.5,64139,192.168.137.111,80,17,30/11/2021 10:57:34 PM,91938785,3122,1,99904.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1086.9841275365995,33.968253985518736,29448.68193465726,717430.2629630624,2.9714116E7,0.0,9.1938785E7,29458.117590515845,717545.0328026091,2.9714116E7,0.0,0,0,0,0,0,0,0,0,0,24976,8,33.95737718308982,0.010876802428920505,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.01024655779699,32.0,32.0,0,0,0,0,0,0,3122,99904,1,32,-1,-1,3122,0,3379142.75,2275996.6006870302,5094926.0,28041.0,1.8961406E7,7181258.125801123,2.9714116E7,1.4959019E7,No Label
192.168.137.5-192.168.137.111-55725-80-17,192.168.137.5,55725,192.168.137.111,80,17,30/11/2021 10:57:34 PM,91976284,3688,1,118016.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1283.4612887817907,40.10816527443096,24939.339479392576,657211.6673514716,3.0043281E7,0.0,9.1976284E7,24946.10360726873,657300.6826244188,3.0043281E7,0.0,0,0,0,0,0,0,0,0,0,29504,8,40.0972929065062,0.010872367924757646,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.008674437516945,32.0,32.0,0,0,0,0,0,0,3688,118016,1,32,-1,-1,3688,0,3646338.75,2447793.4097715267,5379918.0,73194.0,1.8702925E7,7579110.87304221,3.0043281E7,1.4234329E7,No Label
192.168.137.5-192.168.137.111-61383-80-17,192.168.137.5,61383,192.168.137.111,80,17,30/11/2021 10:57:34 PM,91994772,3633,1,116256.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1264.0718322558591,39.5022447579956,25321.985136251013,660273.2087007995,3.0082551E7,0.0,9.1992988E7,25328.465859030846,660364.0085543259,3.0082551E7,0.0,0,0,0,0,0,0,0,0,0,29064,8,39.49137457506824,0.010870182927351568,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00880572372042,32.0,32.0,0,0,0,0,0,0,3633,116256,1,32,-1,-1,3633,0,3678561.0,2538615.8663658956,5529122.0,9111.0,1.8675983E7,7609097.44975526,3.0082551E7,1.4502335E7,No Label
192.168.137.5-192.168.137.111-51185-80-17,192.168.137.5,51185,192.168.137.111,80,17,30/11/2021 10:57:33 PM,92967188,3176,1,101632.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1093.5471125576048,34.17334726742515,29271.784634760697,708811.14944211,3.0123554E7,0.0,9.296716E7,29280.995275590558,708922.6095260511,3.0123554E7,0.0,0,0,0,0,0,0,0,0,0,25408,8,34.162590784180765,0.010756483244389409,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.01007239534152,32.0,32.0,0,0,0,0,0,0,3176,101632,1,32,-1,-1,3176,0,3622172.75,3011809.212500727,6896615.0,2383.0,1.873902625E7,7591202.039210934,3.0123554E7,1.4811395E7,No Label
192.168.137.5-192.168.137.111-52960-80-17,192.168.137.5,52960,192.168.137.111,80,17,30/11/2021 10:57:21 PM,109681311,3242,1,103744.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,946.1593689375212,29.567480279297538,33831.372917951885,829542.225365968,3.147092E7,0.0,1.09681311E8,33841.811477938994,829670.0183078366,3.147092E7,0.0,0,0,0,0,0,0,0,0,0,25936,8,29.558362955745487,0.009117323552049812,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00986740672217,32.0,32.0,0,0,0,0,0,0,3242,103744,1,32,-1,-1,3242,0,3439167.75,2618262.4267078824,5961785.0,3.0,2.2083384E7,9128598.041465184,3.147092E7,1.2988862E7,No Label
192.168.137.5-192.168.137.111-52442-80-17,192.168.137.5,52442,192.168.137.111,80,17,30/11/2021 10:57:49 PM,76166244,4179,1,133728.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1756.1585418338339,54.87995443230731,18225.949748743737,577545.6553908519,3.0084834E7,0.0,7.6166244E7,18230.312111057938,577614.7164222854,3.0084834E7,0.0,0,0,0,0,0,0,0,0,0,33432,8,54.86682525660579,0.013129175701508925,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.007655502392346,32.0,32.0,0,0,0,0,0,0,4179,133728,1,32,-1,-1,4179,0,4244886.0,169572.61326346305,4424878.0,4088129.0,2.0284996333333332E7,8506056.806380752,3.0084834E7,1.4814649E7,No Label
192.168.137.5-192.168.137.111-62569-80-17,192.168.137.5,62569,192.168.137.111,80,17,30/11/2021 10:57:49 PM,92865816,5388,1,172416.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1856.9588620208754,58.029964438152355,17235.674832962104,543175.3964784966,2.9322772E7,0.0,9.2225234E7,17119.961759792066,543159.4003630256,2.9322772E7,0.0,0,0,0,0,0,0,0,0,0,43104,8,58.01919621316847,0.010768224983884274,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.005938021896455,32.0,32.0,0,0,0,0,0,0,5388,172416,1,32,-1,-1,5388,0,2567087.4,2176944.274783647,5229308.0,87699.0,1.60003802E7,8662411.689512148,2.9322772E7,5036247.0,No Label
192.168.137.5-192.168.137.111-65193-80-17,192.168.137.5,65193,192.168.137.111,80,17,30/11/2021 10:57:34 PM,92896045,3775,1,120800.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1300.7227595103752,40.647586234699226,24608.223841059615,647175.4078443719,2.993033E7,0.0,9.2896045E7,24614.74430312664,647261.042180894,2.993033E7,0.0,0,0,0,0,0,0,0,0,0,30200,8,40.636821513768425,0.010764720930799583,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00847457627118,32.0,32.0,0,0,0,0,0,0,3775,120800,1,32,-1,-1,3775,0,3682812.5,2483654.6617059438,5427482.0,42165.0,1.86612605E7,7512802.428312021,2.993033E7,1.4878671E7,No Label
192.168.137.5-192.168.137.111-55427-80-17,192.168.137.5,55427,192.168.137.111,80,17,30/11/2021 10:57:34 PM,108655976,5274,1,168768.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1553.5270696938014,48.547720927931294,20602.194918467954,595252.609334004,3.1038149E7,0.0,1.08655976E8,20606.102029205413,595308.9931786506,3.1038149E7,0.0,0,0,0,0,0,0,0,0,0,42192,8,48.538517568513676,0.009203359417617307,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0060663507109,32.0,32.0,0,0,0,0,0,0,5274,168768,1,32,-1,-1,5274,0,3743433.8,2556027.9778416357,6835690.0,101139.0,1.7963099E7,7479285.300996747,3.1038149E7,1.2273921E7,No Label
