Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.5-192.168.137.46-61630-80-17,192.168.137.5,61630,192.168.137.46,80,17,02/12/2021 10:46:11 PM,96338387,8716,1,278912.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2895.4605602852785,90.48314250891495,11053.050367140888,439557.20638050046,2.8937837E7,0.0,9.6338375E7,11054.317269076308,439582.4110652087,2.8937837E7,0.0,0,0,0,0,0,0,0,0,0,69728,8,90.47276243061864,0.010380078296307785,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00367098772514,32.0,32.0,0,0,0,0,0,0,8716,278912,1,32,-1,-1,8716,0,1635411.8,2125660.3055891125,5294338.0,7732.0,1.73370558E7,6650256.784236808,2.8937837E7,1.222147E7,No Label
192.168.137.5-192.168.137.46-53929-80-17,192.168.137.5,53929,192.168.137.46,80,17,02/12/2021 10:46:11 PM,111963772,8242,1,263744.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2355.904908241212,73.62202838253788,13584.539189517116,471255.1316935021,2.9644575E7,0.0,1.11963715E8,13586.180681956068,471283.7028402604,2.9644575E7,0.0,0,0,0,0,0,0,0,0,0,65936,8,73.61309692210084,0.008931460437042082,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00388208176635,32.0,32.0,0,0,0,0,0,0,8242,263744,1,32,-1,-1,8242,0,2368846.6666666665,2952222.1466605566,6884825.0,3021.0,1.6291782E7,6619799.714134863,2.9644575E7,1.2183501E7,No Label
192.168.137.5-192.168.137.46-50567-80-17,192.168.137.5,50567,192.168.137.46,80,17,02/12/2021 10:46:25 PM,118384615,5167,1,165344.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1396.9382761433992,43.654321129481225,22911.67311786333,604380.3734154206,2.9173451E7,0.0,1.18327008E8,22904.95702671315,604438.6850508777,2.9173451E7,0.0,0,0,0,0,0,0,0,0,0,41336,8,43.64587408591902,0.00844704356220612,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0061919504644,32.0,32.0,0,0,0,0,0,0,5167,165344,1,32,-1,-1,5167,0,3385274.0,3115680.4413059866,7577137.0,453866.0,1.6659015166666666E7,6214213.949701778,2.9173451E7,1.2743707E7,No Label
192.168.137.5-192.168.137.46-63793-80-17,192.168.137.5,63793,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119114134,7578,1,242496.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2036.0975801578677,63.628049379933366,15718.413037740796,448240.8732725031,1.7844594E7,0.0,1.19114133E8,15720.487396067027,448270.41887180816,1.7844594E7,0.0,0,0,0,0,0,0,0,0,0,60624,8,63.6196540706076,0.008395309325759779,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00422219290144,32.0,32.0,0,0,0,0,0,0,7578,242496,1,32,-1,-1,7578,0,2032821.5,1746596.0341658571,4580824.0,212184.0,1.4575397E7,1836001.957953023,1.7844594E7,1.1938236E7,No Label
192.168.137.5-192.168.137.46-50940-80-17,192.168.137.5,50940,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119664549,7628,1,244096.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2040.1029548024287,63.7532173375759,15687.53919769271,515508.4701544613,2.883436E7,0.0,1.19511529E8,15669.53310607055,515539.8695416424,2.883436E7,0.0,0,0,0,0,0,0,0,0,0,61024,8,63.74486064373168,0.00835669384422282,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00419452090706,32.0,32.0,0,0,0,0,0,0,7628,244096,1,32,-1,-1,7628,0,1794532.6,2008801.5052041104,5278836.0,456223.0,1.7633743166666664E7,5599565.525716594,2.883436E7,1.3931526E7,No Label
192.168.137.5-192.168.137.46-52424-80-17,192.168.137.5,52424,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119611165,6259,1,200288.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1674.7600443487026,52.33625138589696,19110.2676146349,552919.4521634856,2.8110998E7,0.0,1.19611165E8,19113.321348673668,552963.5816832919,2.8110998E7,0.0,0,0,0,0,0,0,0,0,0,50072,8,52.32789096235289,0.008360423544072997,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00511182108626,32.0,32.0,0,0,0,0,0,0,6259,200288,1,32,-1,-1,6259,0,2547412.4,3166795.338682514,7033498.0,115438.0,1.6998916166666668E7,5517922.367831335,2.8110998E7,1.3467338E7,No Label
192.168.137.5-192.168.137.46-65353-80-17,192.168.137.5,65353,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119665972,5643,1,180576.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1509.2678142454733,47.16461919517104,21206.09108630162,594866.4612931842,2.9044445E7,0.0,1.19448639E8,21171.329138603305,594913.4539543453,2.9044445E7,0.0,0,0,0,0,0,0,0,0,0,45144,8,47.15626260069989,0.008356594471150077,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.005669737774625,32.0,32.0,0,0,0,0,0,0,5643,180576,1,32,-1,-1,5643,0,2055657.2,2115116.7585468423,5178652.0,230196.0,1.7417846833333332E7,5710697.896841205,2.9044445E7,1.4380955E7,No Label
192.168.137.5-192.168.137.46-50622-80-17,192.168.137.5,50622,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119672629,5305,1,169760.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1418.8039605948659,44.33762376858956,22558.459754948173,589199.3677346497,2.8308317E7,0.0,1.19672629E8,22562.71285822021,589254.8370750911,2.8308317E7,0.0,0,0,0,0,0,0,0,0,0,42440,8,44.32926763896864,0.008356129620917745,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00603090840558,32.0,32.0,0,0,0,0,0,0,5305,169760,1,32,-1,-1,5305,0,3027126.6,2884684.451231763,6957615.0,547913.0,1.6609398166666668E7,5795134.553923814,2.8308317E7,1.2591245E7,No Label
192.168.137.5-192.168.137.46-55020-80-17,192.168.137.5,55020,192.168.137.46,80,17,02/12/2021 10:46:26 PM,119586963,6018,1,192576.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1610.6103472165273,50.33157335051648,19871.545862412786,576540.5610545758,3.0915333E7,0.0,1.19586963E8,19874.848429449903,576588.4194021143,3.0915333E7,0.0,0,0,0,0,0,0,0,0,0,48144,8,50.32321123499056,0.008362115525920664,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.0053164977571,32.0,32.0,0,0,0,0,0,0,6018,192576,1,32,-1,-1,6018,0,1775164.1666666667,1787628.390721228,4245726.0,11151.0,1.7065145E7,6812270.78872063,3.0915333E7,1.3598364E7,No Label
192.168.137.5-192.168.137.46-51735-80-17,192.168.137.5,51735,192.168.137.46,80,17,02/12/2021 10:46:24 PM,119666876,5860,1,187520.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1567.2841664221266,48.97763020069146,20420.968600682576,642175.7740226013,3.0557759E7,0.0,1.19666875E8,20424.45383171188,642230.5281194625,3.0557759E7,0.0,0,0,0,0,0,0,0,0,0,46880,8,48.96927366934857,0.008356531342892246,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00545981914349,32.0,32.0,0,0,0,0,0,0,5860,187520,1,32,-1,-1,5860,0,2352814.4,2387833.811210236,5242454.0,47397.0,2.06044398E7,8209460.414113627,3.0557759E7,1.4060769E7,No Label
