Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.138-192.168.137.5-80-64366-17,192.168.137.5,64366,192.168.137.138,80,17,02/12/2021 11:37:15 PM,102643870,5946,1,190272.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1854.0220667829456,57.93818958696705,17262.675748402307,666269.3157165252,4.4668304E7,0.0,1.02628617E8,17263.013793103437,666325.3583841723,4.4668304E7,0.0,0,0,0,0,0,0,0,0,0,47568,8,57.92844716396605,0.009742423001003371,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00538086430133,32.0,32.0,0,0,0,0,0,0,5946,190272,1,32,-1,-1,5946,0,1742374.0,2303249.4534289306,5048338.0,93370.0,2.190293975E7,1.5192533767493764E7,4.4668304E7,1.3454517E7,No Label
192.168.137.138-192.168.137.5-80-58050-17,192.168.137.5,58050,192.168.137.138,80,17,02/12/2021 11:37:15 PM,103796908,6259,1,200288.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1929.9226138797892,60.31008168374341,16583.624860201307,515972.1488655189,2.8561453E7,0.0,1.03796899E8,16586.27341003517,516013.3362607427,2.8561453E7,0.0,0,0,0,0,0,0,0,0,0,50072,8,60.30044748539137,0.009634198352035689,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00511182108626,32.0,32.0,0,0,0,0,0,0,6259,200288,1,32,-1,-1,6259,0,1585425.9999999998,2303090.295906459,5558282.0,54514.0,1.71346898E7,6407266.506665669,2.8561453E7,1.345452E7,No Label
192.168.137.138-192.168.137.5-80-64277-17,192.168.137.5,64277,192.168.137.138,80,17,02/12/2021 11:37:15 PM,102625502,5881,1,188192.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1834.08603448293,57.31518857759156,17450.34892025168,545032.1516692775,2.9958265E7,0.0,1.02625502E8,17453.316666666702,545078.4563315904,2.9958265E7,0.0,0,0,0,0,0,0,0,0,0,47048,8,57.30544441088337,0.009744166708193057,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00544032641959,32.0,32.0,0,0,0,0,0,0,5881,188192,1,32,-1,-1,5881,0,1549694.4,2076152.7447359934,5107763.0,94554.0,1.74465674E7,7013500.412901984,2.9958265E7,1.3544251E7,No Label
192.168.137.138-192.168.137.5-80-62684-17,192.168.137.5,62684,192.168.137.138,80,17,02/12/2021 11:37:30 PM,119555103,5289,1,169248.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1415.9161403591447,44.24737938622327,22604.481565513404,593334.8973512562,2.9078378E7,0.0,1.19555053E8,22608.746785173946,593390.926233181,2.9078378E7,0.0,0,0,0,0,0,0,0,0,0,42312,8,44.23901504229393,0.008364343929342773,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.006049149338374,32.0,32.0,0,0,0,0,0,0,5289,169248,1,32,-1,-1,5289,0,3366414.833333334,3670777.840542814,9672803.0,103713.0,1.6559435166666666E7,6266032.762368336,2.9078378E7,1.178514E7,No Label
192.168.137.138-192.168.137.5-80-64683-17,192.168.137.5,64683,192.168.137.138,80,17,02/12/2021 11:37:30 PM,119544364,3642,1,116544.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,975.1693521912919,30.47404225597787,32823.82317408014,883914.0982350308,4.4225136E7,0.0,1.19544364E8,32832.83823125515,884035.339214455,4.4225136E7,0.0,0,0,0,0,0,0,0,0,0,29136,8,30.46567716065644,0.0083650953214323,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00878396925611,32.0,32.0,0,0,0,0,0,0,3642,116544,1,32,-1,-1,3642,0,3465672.8,3337301.625877364,8511139.0,118998.0,2.04431998E7,1.3463286763494741E7,4.4225136E7,1.1786331E7,No Label
192.168.137.138-192.168.137.5-80-49282-17,192.168.137.5,49282,192.168.137.138,80,17,02/12/2021 11:37:30 PM,119762947,3059,1,97888.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,817.6151510366558,25.550473469895493,39151.01242236024,791708.0494209209,2.8839523E7,0.0,1.19762947E8,39163.81523871815,791837.2131317861,2.8839523E7,0.0,0,0,0,0,0,0,0,0,0,24472,8,25.542123641964157,0.008349827931338396,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.01045751633987,32.0,32.0,0,0,0,0,0,0,3059,97888,1,32,-1,-1,3059,0,3150059.8333333335,3398296.4359262963,9046660.0,247940.0,1.6809610833333332E7,6162812.988175494,2.8839523E7,1.20131E7,No Label
192.168.137.138-192.168.137.5-80-60366-17,192.168.137.5,60366,192.168.137.138,80,17,02/12/2021 11:37:30 PM,107679360,7940,1,254080.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,2359.8951553946827,73.74672360608383,13561.632241813615,575581.6310272185,4.4294657E7,0.0,1.0767936E8,13563.340471092062,575617.8645842018,4.4294657E7,0.0,0,0,0,0,0,0,0,0,0,63520,8,73.73743677525572,0.00928683082811785,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.004029719178945,32.0,32.0,0,0,0,0,0,0,7940,254080,1,32,-1,-1,7940,0,3974329.0,3330643.6413435168,8268807.0,1118034.0,2.2090816E7,1.48288258396526E7,4.4294657E7,1.3502226E7,No Label
192.168.137.138-192.168.137.5-80-58108-17,192.168.137.5,58108,192.168.137.138,80,17,02/12/2021 11:37:30 PM,119719866,4320,1,138240.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1154.9628697379264,36.0925896793102,27712.93194444442,990950.7493805033,5.9965669E7,0.0,1.19719865E8,27719.34822875667,991065.3994880798,5.9965669E7,0.0,0,0,0,0,0,0,0,0,0,34560,8,36.084236846706794,0.00835283260340435,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00740569312659,32.0,32.0,0,0,0,0,0,0,4320,138240,1,32,-1,-1,4320,0,4202411.5,2832228.177711499,7635165.0,1660288.0,2.567071425E7,2.2992661144308858E7,5.9965669E7,1.1778948E7,No Label
192.168.137.138-192.168.137.5-80-50686-17,192.168.137.5,50686,192.168.137.138,80,17,02/12/2021 11:37:30 PM,107508789,5229,1,167328.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1556.709935594196,48.64718548731862,20560.104991394095,723238.8242990196,4.5293749E7,0.0,1.07508789E8,20564.037681713842,723307.948050809,4.5293749E7,0.0,0,0,0,0,0,0,0,0,0,41832,8,48.63788392221589,0.009301565102737787,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00611854684512,32.0,32.0,0,0,0,0,0,0,5229,167328,1,32,-1,-1,5229,0,3831946.75,3932316.998383385,8908945.0,102621.0,2.243544925E7,1.5260730417181246E7,4.5293749E7,1.4078962E7,No Label
192.168.137.138-192.168.137.5-80-63977-17,192.168.137.5,63977,192.168.137.138,80,17,02/12/2021 11:37:30 PM,107745677,5450,1,174400.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,1618.923420936879,50.59135690427747,19769.84899082568,586225.9345114995,3.0241978E7,0.0,1.07745677E8,19773.477151770938,586279.672787709,3.0241978E7,0.0,0,0,0,0,0,0,0,0,0,43600,8,50.58207578945372,0.009281114823752976,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.005870482480276,32.0,32.0,0,0,0,0,0,0,5450,174400,1,32,-1,-1,5450,0,2987033.0,3341871.9360661474,7635171.0,102617.0,1.8138355E7,6928353.394514565,3.0241978E7,1.3509743E7,No Label
